 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
37,14000000,895.73,49.393,-137.204,-499,-462,583,895.73,-63700,-59570,186270,60399,-1281.138,-17.222,42.337,1499,-446,599,-1281.138,52500,-57330,503510,10605,swipe left
42,15000000,1005.489,12.928,-124.679,-128,-185,980,1005.489,-8890,-13090,-17150,23334,-66.687,3.937,-4.595,-44,-40,1125,-66.687,-17990,-7630,-9940,10505,swipe left
43,15000000,2825.463,88.276,45,1997,1997,85,2825.463,-59150,-25970,39970,38416,1819.974,75.348,169.679,2125,2182,270,1819.974,-50260,-12880,57120,15082,swipe left
44,15000000,2018.496,97.916,-177.964,-1998,-71,-278,2018.496,-125300,136990,-434000,61473,-806.967,9.64,-222.964,-3995,-2068,-2275,-806.967,-66150,162960,-473970,23057,swipe left
45,15000000,1408.001,48.389,-140.473,-812,-670,935,1408.001,25480,-39200,131810,48783,-610.495,-49.527,37.491,1186,-599,1006,-610.495,150780,-176190,565810,-12690,swipe left
50,16000000,1179.373,14.068,-130.189,-185,-219,1144,1179.373,-4550,-2240,-14000,14890,76.479,6.009,-34.995,-171,-65,1298,76.479,-8260,-4690,-17360,9318,swipe left
51,16000000,2835.228,95.058,45,1997,1997,-250,2835.228,-40460,-66150,168070,64773,1655.855,80.99,175.189,2182,2216,-31,1655.855,-35910,-63910,182070,49883,swipe left
52,16000000,2195.793,71.904,138.573,-1565,1381,682,2195.793,-119070,171010,-551600,63931,-639.435,-23.154,93.573,-3562,-616,-1315,-639.435,-78610,237160,-719670,-842,swipe left
53,16000000,1044.548,37.019,-119.01,-305,-550,834,1044.548,16310,-27160,77910,52713,-1151.245,-34.885,-257.583,1260,-1931,-547,-1151.245,135380,-198170,629510,-11218,swipe left
58,17000000,1075.52,16.729,-61.862,146,-273,1030,1075.52,-6580,-62860,-90580,60078,164.362,5.923,1.722,70,-120,1183,164.362,-3780,-52150,-90230,49003,swipe left
59,17000000,2494.205,56.957,-162.865,-1998,-616,1360,2494.205,-55300,-36120,166250,44011,1418.685,40.228,-101.003,-2144,-343,1633,1418.685,-48720,26740,256830,-16067,swipe left
60,17000000,2403.06,63.799,22.151,1997,813,1061,2403.06,-17640,22680,3290,28920,-91.145,6.842,185.016,3995,1429,1677,-91.145,37660,58800,-162960,-15091,swipe left
61,17000000,1103.108,5.516,-20.998,99,-38,1098,1103.108,-27930,3570,-33250,43570,-1299.952,-58.283,-43.149,-1898,-851,285,-1299.952,-10290,-19110,-36540,14650,swipe left
66,18000000,1133.488,14.973,-46.66,201,-213,1095,1133.488,-21490,-13650,-69790,34983,72.815,7.641,47.576,211,-78,1230,72.815,-19880,-10780,-61600,26157,swipe left
67,18000000,2943.294,47.247,157.588,-1998,824,1998,2943.294,162330,-88550,412160,46952,1809.806,32.274,204.248,-2199,1037,2211,1809.806,183820,-74900,481950,11969,swipe left
68,18000000,2998.687,70.317,44.985,1997,1996,1010,2998.687,63210,173670,-670600,53148,55.393,23.07,-112.603,3995,1172,186,55.393,-99120,262220,-1082760,6196,swipe left
69,18000000,1151.64,50.855,-148.926,-765,-461,727,1151.64,-27930,7770,-17080,33647,-1847.047,-19.462,-193.911,-2762,-2457,-1269,-1847.047,-91140,-165900,653520,-19501,swipe left
74,19000000,1077.373,14.081,-88.251,8,-262,1045,1077.373,-560,-8610,-18760,20649,64.355,4.203,12.024,39,-91,1216,64.355,-420,-11620,-18130,17571,swipe left
75,19000000,2224.067,79.796,155.893,-1998,894,394,2224.067,56000,-29330,543620,56269,1146.694,65.715,244.144,-2006,1156,656,1146.694,56560,-20720,562380,35620,swipe left
76,19000000,3457.174,54.776,45,1997,1997,1994,3457.174,48440,85470,-318570,61353,1233.107,-25.02,-110.893,3995,1103,1100,1233.107,-7560,114800,-862190,5084,swipe left
77,19000000,1257.081,36.077,-146.739,-619,-406,1016,1257.081,-8470,-9450,-32340,34740,-2200.093,-18.699,-191.739,-2616,-2403,-981,-2200.093,-56910,-94920,286230,-26613,swipe left
