 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1069.652,9.813,-121.772,-96,-155,1054,1069.652,-36680,-16310,-61880,33846,39.935,-1.128,-4.683,-7,19,1228,39.935,-66150,-4060,-35490,-7566,swipe left
2,10000000,2512.48,56.355,17.3,1997,622,1392,2512.48,59640,-76230,-82040,56688,1442.828,46.542,139.072,2093,777,1547,1442.828,96320,-59920,-20160,22842,swipe left
3,10000000,2912.721,46.931,-159.878,-1998,-732,1989,2912.721,-21000,-107520,-30380,6292,400.241,-9.424,-177.178,-3995,-1354,1367,400.241,-80640,-31290,51660,-50396,swipe left
4,10000000,768.3,50.567,-12.654,579,-130,488,768.3,36470,3080,134260,46748,-2144.421,3.636,147.224,2577,602,1220,-2144.421,57470,110600,164640,40456,swipe left
10,11000000,1142.979,10.455,-68.506,76,-193,1124,1142.979,-46620,25970,-104860,30960,38.409,4.699,-9.47,19,-98,1219,38.409,-43400,17990,-100590,21354,swipe left
11,11000000,2895.277,46.988,160.692,-1998,700,1975,2895.277,76300,-56350,311780,55897,1752.298,36.533,229.198,-2074,893,2168,1752.298,122920,-82320,416640,24937,swipe left
12,11000000,3405.499,56.027,45,1997,1997,1903,3405.499,2030,-7420,-137130,41035,510.222,9.039,-115.692,3995,1297,1203,510.222,-74270,48930,-448910,-14862,swipe left
13,11000000,1360.615,14.878,-170.942,-345,-55,1315,1360.615,-1120,4970,-13020,13981,-2044.884,-41.149,-215.942,-2342,-2052,-682,-2044.884,-3150,12390,124110,-27054,swipe left
18,12000000,1035.938,12.341,-120.386,-112,-191,1012,1035.938,-70,-5390,-6580,8506,-2.877,2.987,-24.608,-95,-23,1180,-2.877,1960,-4550,-2800,4134,swipe left
19,12000000,2778.204,47.217,168.486,-1998,407,1887,2778.204,115990,-56910,416500,34440,1742.266,34.876,288.872,-1886,598,2078,1742.266,116060,-51520,423080,25934,swipe left
20,12000000,3060.759,64.866,43.888,1997,1921,1300,3060.759,630,111510,-255990,25619,282.555,17.649,-124.598,3995,1514,893,282.555,-115360,168420,-672490,-8821,swipe left
21,12000000,1560.752,36.661,-156.405,-854,-373,1252,1560.752,9100,-11900,-10920,18538,-1500.007,-28.205,-200.293,-2851,-2294,-669,-1500.007,8470,-123410,245070,-7081,swipe left
26,13000000,1125.886,18.929,-94.711,-30,-364,1065,1125.886,-28070,-24010,-78330,56612,138.368,10.968,-13.967,-52,-229,1200,138.368,-24570,-19320,-60900,38226,swipe left
27,13000000,2631.469,52.223,163.865,-1998,578,1612,2631.469,110530,-42280,169260,63235,1505.583,33.294,258.576,-1968,942,1976,1505.583,138600,-18270,247590,6623,swipe left
28,13000000,3391.039,56.391,45,1997,1997,1877,3391.039,14420,57260,-168770,43648,759.57,4.168,-118.865,3995,1419,1299,759.57,-96110,99540,-338030,-19587,swipe left
29,13000000,910.409,6.802,-155.336,-98,-45,904,910.409,23310,10990,-50330,56544,-2480.63,-49.589,-200.336,-2095,-2042,-1093,-2480.63,8890,-46270,118440,12896,swipe left
34,14000000,1128.626,6.211,-106.654,-35,-117,1122,1128.626,3220,-17290,560,17596,89.863,-1.236,-44.552,-98,2,1241,89.863,3220,-14840,-1400,14459,swipe left
35,14000000,2541.845,94.105,38.031,1997,1562,-182,2541.845,-51380,-31150,343840,39712,1413.219,87.894,144.685,2032,1679,-65,1413.219,-54600,-13860,343280,22116,swipe left
36,14000000,2176.868,66.615,-179.541,-1998,-16,864,2176.868,-116200,-2240,-317240,49794,-364.977,-27.49,-217.572,-3995,-1578,-698,-364.977,-64820,28910,-661080,10082,swipe left
