 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1000.489,4.786,71.131,27,79,997,1000.489,6930,3990,-16030,17913,-5.706,-3.377,-93.86,165,42,960,-5.706,11200,6090,-18900,12357,swipe left
2,10000000,2141.8,50.408,104.347,-409,1599,1365,2141.8,-36470,-115780,540330,41819,1141.311,45.622,33.216,-436,1520,1286,1141.311,-43400,-119770,556360,23906,swipe left
3,10000000,2839.131,45.272,8.093,1997,284,1998,2839.131,100730,77070,-259840,44707,697.331,-5.136,-96.254,2406,-1315,399,697.331,137200,192850,-800170,2888,swipe left
4,10000000,1281.044,39.039,174.381,-803,79,995,1281.044,2310,-7910,10010,12965,-1558.087,-6.233,166.288,-2800,-205,711,-1558.087,-98420,-84980,269850,-31742,swipe left
10,11000000,1199.48,13.97,-65.736,119,-264,1164,1199.48,-16730,-19180,-71400,38088,160.525,5.643,19.69,107,-114,1314,160.525,-16730,-11690,-69930,30456,swipe left
11,11000000,3201.881,51.39,142.992,-1998,1506,1998,3201.881,118020,-67550,683690,24339,2002.401,37.42,208.728,-2117,1770,2262,2002.401,134750,-48370,755090,-13749,swipe left
12,11000000,3360.568,55.921,44.155,1997,1939,1883,3360.568,108080,130480,-530040,20274,158.687,4.531,-98.837,3995,433,377,158.687,-9940,198030,-1213730,-4065,swipe left
13,11000000,1448.245,47.95,-152.052,-950,-504,970,1448.245,-17430,-7980,41720,45913,-1912.323,-7.971,-196.207,-2947,-2443,-969,-1912.323,-125510,-138460,571760,25639,swipe left
18,12000000,1017.438,11.782,-82.532,27,-206,996,1017.438,-4480,-1750,-20720,21270,31.696,2.204,8.515,30,-42,1160,31.696,-4340,4760,-22190,14595,swipe left
19,12000000,2634.494,68.489,126.823,-1469,1962,966,2634.494,133490,-83580,719950,44354,1617.056,56.707,209.355,-1496,2168,1172,1617.056,137970,-81830,740670,23084,swipe left
20,12000000,2843.82,58.308,54.91,1391,1980,1494,2843.82,7490,117950,-540190,28824,209.326,-10.181,-71.913,2860,18,-468,209.326,-126000,201530,-1260140,-15530,swipe left
21,12000000,1380.405,20.498,-103.518,-113,-470,1293,1380.405,8750,-33740,63280,30402,-1463.415,-37.81,-158.428,-1504,-2450,-687,-1463.415,1260,-151690,603470,1578,swipe left
26,13000000,1050.971,22.495,-85.721,30,-401,971,1050.971,-8890,3850,-34580,35911,100.441,10.565,-24.634,-65,-229,1143,100.441,-3290,3220,-29050,28016,swipe left
27,13000000,3018.936,48.56,151.985,-1998,1063,1998,3018.936,101710,-92050,300580,42335,1967.965,26.065,237.706,-2028,1464,2399,1967.965,110600,-95900,335160,6424,swipe left
28,13000000,3424.614,55.555,45,1997,1997,1937,3424.614,-4200,49000,-256550,61741,405.678,6.995,-106.985,3995,934,874,405.678,-105910,141050,-557130,19406,swipe left
29,13000000,1408.608,20.546,-139.511,-376,-321,1319,1408.608,14490,-51660,770,53659,-2016.006,-35.009,-184.511,-2373,-2318,-678,-2016.006,18690,-100660,257320,-8082,swipe left
34,14000000,1106.508,16.12,-119.652,-152,-267,1063,1106.508,-18550,-17500,-47670,54062,105.345,5.19,-71.236,-278,-125,1205,105.345,-18410,-14770,-39970,45892,swipe left
35,14000000,2829.372,97.391,44.624,1997,1971,-364,2829.372,21210,-32550,441910,59332,1722.864,81.271,164.276,2149,2238,-97,1722.864,39760,-15050,489580,5270,swipe left
36,14000000,2045.03,78.948,174.539,-1998,191,392,2045.03,-122150,178990,-406140,38135,-784.342,-18.443,129.915,-3995,-1780,-1579,-784.342,-143360,211540,-848050,-21197,swipe left
37,14000000,1091.855,46.469,-132.03,-530,-588,752,1091.855,4200,-51170,132020,53716,-953.175,-32.479,-306.569,1468,-779,561,-953.175,126350,-230160,538160,15581,swipe left
42,15000000,974.964,23.661,-68.878,141,-365,893,974.964,-6930,-15120,-30730,34942,-85.486,12.958,31.062,175,-171,1087,-85.486,-23100,-15680,-38360,17054,swipe left
43,15000000,3232.477,51.822,141.84,-1998,1570,1998,3232.477,55720,-69510,619150,21001,2257.513,28.161,210.718,-2139,1935,2363,2257.513,62650,-54390,649880,-13941,swipe left
44,15000000,3237.121,60.011,44.58,1997,1968,1618,3237.121,79100,88200,-279090,41628,4.644,8.189,-97.26,3995,398,48,4.644,23380,157710,-898240,20627,swipe left
45,15000000,1339.981,37.294,-136.097,-585,-563,1066,1339.981,7700,-24150,5530,25944,-1897.14,-22.717,-180.677,-2582,-2531,-902,-1897.14,-71400,-112350,284620,-15684,swipe left
50,16000000,1082.201,16.802,-120.335,-158,-270,1036,1082.201,-10640,-14840,-33180,37872,26.466,5.707,-18.694,-117,-71,1235,26.466,-11480,-13230,-35070,35251,swipe left
51,16000000,3448.555,54.593,135.302,-1998,1977,1998,3448.555,238490,-30030,796600,29344,2366.354,37.791,255.637,-1840,2247,2268,2366.354,249130,-15190,829780,-8528,swipe left
52,16000000,3419.863,54.58,44.229,1997,1944,1982,3419.863,118020,59360,-277900,13836,-28.692,-0.013,-91.073,3995,-33,5,-28.692,-120470,89390,-1074500,-15508,swipe left
53,16000000,1157.228,33.945,-127.011,-389,-516,960,1157.228,2940,-23590,-490,23777,-2262.635,-20.635,-171.24,-2386,-2460,-984,-2262.635,-115080,-82950,277410,9941,swipe left
58,17000000,1092.174,20.501,-95.099,-34,-381,1023,1092.174,-5600,-34160,-73920,48656,62.053,10.672,16.944,32,-218,1186,62.053,-3780,-35280,-76860,45022,swipe left
59,17000000,3069.854,49.394,149.01,-1998,1200,1998,3069.854,58030,-37940,275870,60014,1977.68,28.893,244.109,-1964,1581,2379,1977.68,63630,-3780,349790,11358,swipe left
60,17000000,3444.539,54.546,44.624,1997,1971,1998,3444.539,50190,21210,-154210,31302,374.685,5.152,-104.386,3995,771,798,374.685,-7840,59150,-430080,-28712,swipe left
61,17000000,1116.151,30.672,-140.13,-437,-365,960,1116.151,-15190,-16520,34370,41048,-2328.388,-23.874,-184.754,-2434,-2336,-1011,-2328.388,-65380,-37730,188580,9746,swipe left
66,18000000,1140.272,15.65,-99.921,-53,-303,1098,1140.272,-12670,-28000,-74130,46312,68.181,2.505,24.551,85,-102,1299,68.181,-10220,-23800,-65730,36607,swipe left
67,18000000,2511.68,67.627,120.705,-1186,1997,956,2511.68,302610,-114800,1023610,38445,1371.408,51.977,220.626,-1133,2300,1259,1371.408,315280,-86800,1097740,-7867,swipe left
68,18000000,2682.018,56.865,57.067,1221,1885,1466,2682.018,41440,101570,-566790,50716,170.338,-10.762,-63.638,2407,-112,-531,170.338,-261170,216370,-1590400,12271,swipe left
69,18000000,1360.72,46.072,-139.842,-749,-632,944,1360.72,-18900,-2660,-1820,19172,-1321.298,-10.793,-196.909,-1970,-2517,-941,-1321.298,-60340,-104230,564970,-31544,swipe left
74,19000000,1055.911,9.31,-81.585,25,-169,1042,1055.911,-280,-2590,-4620,5303,-10.524,-0.762,34.155,106,-1,1210,-10.524,2590,-4970,-2800,1155,swipe left
75,19000000,2672.174,76.958,39.904,1997,1670,603,2672.174,-73010,-25970,357000,17604,1616.263,67.648,121.489,1972,1839,772,1616.263,-72730,-23380,361620,12301,swipe left
76,19000000,2197.722,66.253,-173.32,-1998,-234,885,2197.722,-86030,81760,-375200,15558,-474.452,-10.705,-213.224,-3995,-1904,-785,-474.452,-13020,107730,-732200,-2046,swipe left
77,19000000,636.308,49.529,-132.655,-328,-356,413,636.308,21140,-50890,128590,48910,-1561.414,-16.724,40.665,1670,-122,647,-1561.414,107170,-132650,503790,33352,swipe left
