theta,phi,acc_x,acc_y,acc_z,abs_a,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
110.3,135.014,1998,441,1998,2859.805,-162470,133140,257880,2475,-24.714,swipe left
28.328,4.106,-1998,1997,-1045,3011.982,228480,-168070,-773500,-5506,24.222,swipe left
6.691,-178.465,-246,4,1007,1036.619,1260,1890,-6230,735,185.156,swipe left
58.126,43.65,-112,-3,955,961.549,7210,-3150,-13370,14492,14.476,swipe left
47.564,9.294,1998,1906,1717,3251.604,-242270,262080,454790,22183,38.27,swipe left
7.137,166.446,1998,327,1851,2743.197,407400,-94360,-927500,-17787,-159.309,swipe left
12.603,163.668,-416,25,933,1021.846,980,-20930,12320,18473,-151.065,swipe left
57.949,83.656,-215,63,1002,1026.741,2100,35840,-43050,11793,-25.707,swipe left
45.106,4.948,222,1997,1258,2370.623,-121310,-100310,649600,8992,40.158,swipe left
34.265,175.559,1998,173,1998,2830.889,232260,222600,-902020,10187,-141.294,swipe left
15.329,-176.155,-103,-47,1019,1025.27,0,3640,70,-3582,191.484,swipe left
64.618,9.982,-253,-17,925,959.126,8470,-10010,-13580,17577,54.636,swipe left
65.732,-1.347,1642,289,791,1845.363,-54810,2170,342720,38841,67.079,swipe left
11.134,151.412,1998,-47,901,2192.262,98000,95340,-625800,-2915,-140.278,swipe left
7.554,174.844,-90,3,987,991.099,2240,-770,-1540,542,-167.29,swipe left
51.016,3.494,-133,12,1007,1015.815,-1890,-560,-3360,2804,47.522,swipe left
57.669,14.802,1998,122,1620,2575.128,-105070,-55230,359870,50199,42.867,swipe left
6.038,143.66,1998,528,1308,2445.741,227220,167020,-850290,-23357,-137.622,swipe left
12.587,-175.763,-163,-26,995,1008.598,1400,1680,-490,-1618,188.35,swipe left
45.047,-3.294,-216,-16,970,993.887,2870,-1260,-770,1824,48.341,swipe left
106.651,135.118,1998,-115,1998,2827.937,-38920,66500,104860,45555,-28.467,swipe left
14.07,149.076,-1457,1451,-615,2146.27,16310,-55930,-547050,-17604,-135.006,swipe left
22.501,-17.531,-149,-8,1010,1020.962,-3080,-1120,3920,-92,40.032,swipe left
59.981,129.573,459,-145,1162,1257.755,10500,11550,-14770,14478,-69.592,swipe left
45.416,-9.741,-967,1170,877,1753.031,-103530,-66360,383810,41874,55.157,swipe left
33.763,174.897,1998,-343,1998,2846.341,163450,113190,-501270,-1441,-141.134,swipe left
6.118,144.462,-146,-10,989,999.768,4130,10850,-6930,9809,-138.344,swipe left
60.272,96.58,-84,60,963,968.516,45010,55930,-78120,25290,-36.308,swipe left
45,0.258,-175,1517,872,1758.493,-168630,-176330,587440,-20162,44.742,swipe left
31.401,-178.037,1998,-9,1998,2825.613,227920,203490,-747390,1682,209.438,swipe left
37.484,-10.627,-162,-18,1007,1020.106,420,-2030,6440,-275,48.111,swipe left
78.28,135.014,906,-170,1202,1514.773,11060,25760,-23870,25920,-56.734,swipe left
44.886,-2.649,-1998,1997,586,2885.031,-129430,-188930,520240,15579,47.535,swipe left
19.603,179.228,1988,-92,1998,2820.037,184800,214900,-623980,-14283,-159.625,swipe left
10.359,177.912,-121,-25,991,998.672,18200,-9450,-5390,6549,-167.553,swipe left
45.21,-6.934,-192,7,1051,1068.416,3290,7280,7910,-1509,52.144,swipe left
88.864,135.014,1998,-243,1998,2836.028,-50750,80850,134680,15005,-46.15,swipe left
9.527,22.463,-1998,1997,56,2825.446,40950,-30030,-410830,10311,-12.936,swipe left
5.534,-169.854,-108,-8,981,986.959,420,2520,-5950,773,175.388,swipe left
45.148,-5.829,-95,-17,996,1000.664,3220,-2590,13860,1395,50.977,swipe left
78.865,135.014,1998,-204,1998,2832.953,15540,124810,43750,49973,-56.149,swipe left
21.275,0.188,-1998,1997,556,2879.088,-52430,-101500,-432810,-20578,21.087,swipe left
7.008,-172.647,-80,-22,1011,1014.398,1330,-1330,-2660,3235,179.655,swipe left
52.423,-7.76,-124,-16,1017,1024.656,140,1120,-4900,4046,60.183,swipe left
70.56,135.014,1996,-272,1550,2541.751,-5180,17500,31290,16801,-64.454,swipe left
26.215,-5.065,-1998,1997,997,2995.667,-29890,34860,-376320,-4262,31.28,swipe left
5.947,177.273,-189,10,988,1005.964,-3920,-1330,-1820,3328,-171.326,swipe left
45.024,-2.35,-105,5,1009,1014.46,5040,2240,-4900,3217,47.374,swipe left
93.888,135.014,1998,-82,1998,2826.788,-42210,46830,116550,35070,-41.126,swipe left
33.795,-10.225,-1998,1997,-192,2831.408,121450,6860,-446810,-12649,44.02,swipe left
3.729,-23.096,68,-29,1134,1136.407,28560,23450,-49280,58148,26.825,swipe left
69.949,135.014,-1998,1997,1031,3007.153,-124670,-88830,463750,-50517,-65.065,swipe left
39.276,-6.682,1579,-185,1944,2511.294,154700,79590,-492800,23232,45.958,swipe left
24.383,167.767,-369,80,833,914.576,-49910,-18620,66150,-17267,-143.384,swipe left
21.302,166.001,-353,88,933,1001.419,140,1820,10150,-3159,-144.699,swipe left
83.677,135.014,-1998,1997,313,2842.179,-134120,-116550,631820,35417,-51.337,swipe left
47.234,-6.768,1997,-237,1860,2739.302,179620,160860,-791070,10793,54.002,swipe left
18.356,163.32,-267,80,840,885.036,-32480,-42700,138810,-28995,-144.964,swipe left
12.166,161.045,-198,68,971,993.312,1400,3220,2030,-3990,-148.879,swipe left
45.034,3.353,1997,117,1998,2827.313,-39620,176890,258720,42589,41.681,swipe left
97.873,86.549,84,1393,-193,1408.812,199220,-46900,-822290,15602,11.324,swipe left
25.607,150.439,-469,266,1125,1247.534,-176190,-167720,648200,-46513,-124.832,swipe left
