id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1004.678,37.129,164.015,-583,167,801,1004.678,14070,5390,-64120,6589,-70.258,31.636,18.323,-498,109,743,-70.258,17430,10150,-52920,-6035,swipe left
10000000,3212.141,51.536,37.439,1997,1529,1998,3212.141,-157640,2450,454930,64687,2207.463,14.407,-126.576,2580,1362,1831,2207.463,-171710,-2940,519050,58098,swipe left
10000000,2867.76,45.836,-13.894,1997,-494,1998,2867.76,139300,77350,-286790,16181,-344.381,-5.7,-51.333,0,-2023,469,-344.381,296940,74900,-741720,-48506,swipe left
10000000,1395.786,45.805,173.343,-994,116,973,1395.786,-15400,9800,19180,26477,-1471.974,-0.031,187.237,-2991,610,1467,-1471.974,-154700,-67550,305970,10296,swipe left
11000000,1043.188,30.806,169.321,-525,99,896,1043.188,10710,-4340,-33810,35730,-35.639,27.471,11.801,-467,75,872,-35.639,6090,-490,-25620,25570,swipe left
11000000,2847.36,45.436,10.135,1997,357,1998,2847.36,-58520,18550,221620,36667,1804.172,14.63,-159.186,2522,258,1899,1804.172,-69230,22890,255430,937,swipe left
11000000,2284.766,119.066,90.2,-7,1997,-1110,2284.766,210770,239190,-799120,38655,-562.594,73.63,80.065,-2004,1640,-1467,-562.594,269290,220640,-1020740,1988,swipe left
11000000,1226,35.988,165.037,-696,186,992,1226,6790,-39620,84140,10269,-1058.766,-83.078,74.837,-689,-1811,-1005,-1058.766,-203980,-278810,883260,-28386,swipe left
12000000,894.106,6.126,128.19,-59,75,889,894.106,4970,8470,-59850,60650,-132.824,-10.303,-40.693,226,19,833,-132.824,-140,9380,-48790,48433,swipe left
12000000,2944.02,47.26,22.544,1997,829,1998,2944.02,-107100,-49000,311640,60139,2049.914,41.134,-105.646,2056,754,1923,2049.914,-112070,-57470,371490,-511,swipe left
12000000,2434.823,124.84,92.122,-74,1997,-1391,2434.823,-108990,134750,-784770,40684,-509.197,77.58,69.578,-2071,1168,-2220,-509.197,-1890,183750,-1096410,-19455,swipe left
12000000,1424.924,9.831,74.992,63,235,1404,1424.924,-9520,-27300,71890,41341,-1009.899,-115.009,-17.13,137,-1762,-593,-1009.899,99470,-162050,856660,657,swipe left
13000000,932.346,27.5,-177.204,-242,-88,994,1026.812,840,-3640,-7560,8432,-94.466,12.977,-17.188,-20,-19,1063,9.883,140,-1540,-3920,4172,swipe left
13000000,2841.068,66.409,45.404,-430,-21,827,932.346,28000,8890,-95410,37096,1908.722,38.909,222.608,-188,67,915,-94.466,27160,12530,-87850,28664,swipe left
13000000,2829.265,45.074,-4.122,1828,1854,1137,2841.068,-203070,-24220,559580,52597,-11.803,-21.335,-49.526,2258,1875,1158,1908.722,-231070,-33110,654990,15501,swipe left
13000000,1077.993,51.64,-178.508,1998,-144,1998,2829.265,117180,28210,-328230,44752,-1751.272,6.566,-174.386,170,-1998,144,-11.803,320250,52430,-887810,-7845,swipe left
14000000,1313.869,11.822,66.577,-217,-7,1029,1051.655,10920,-4270,-24150,26845,262.214,-0.092,244.729,9,43,1079,74.836,11900,2240,-23100,20179,swipe left
14000000,2863.395,80.593,135.014,107,247,1286,1313.869,84700,127120,-202510,64917,1549.526,68.771,68.437,324,254,1293,262.214,73780,131390,-178360,38072,swipe left
14000000,2539.837,52.219,-5.545,-1998,1997,468,2863.395,-343770,-307930,644350,33472,-323.558,-28.374,-140.559,-2105,1750,221,1549.526,-428470,-435050,846860,-31445,swipe left
14000000,1125.479,32.991,177.006,1998,-194,1556,2539.837,13510,11620,-177450,41728,-1414.358,-19.228,182.551,3996,-2191,-441,-323.558,357280,319550,-821800,8256,swipe left
15000000,991.279,23.94,-178.005,-301,-52,1006,1051.351,-2660,-9520,-20440,22704,-60.072,7.05,-7.807,-97,15,1073,8.017,-910,-5180,-16590,16645,swipe left
15000000,2572.59,60.776,62.807,-402,-14,906,991.279,23240,3150,-91980,20503,1581.311,36.836,240.812,-101,38,958,-60.072,25900,12670,-71540,-2201,swipe left
15000000,2844.919,45.387,-9.406,1026,1997,1256,2572.59,-210420,-85330,767620,29122,272.329,-15.389,-72.213,1428,2011,1270,1581.311,-233660,-88480,859600,8619,swipe left
15000000,1242.539,49.315,178.722,1998,-331,1998,2844.919,54950,31360,-165270,35388,-1602.38,3.928,188.128,972,-2328,1,272.329,265370,116690,-932890,6266,swipe left
16000000,1067.258,34.835,177.367,-284,-55,993,1034.277,2100,-6160,-16590,17820,32.981,18.594,346.406,-58,13,1061,12.644,490,-1260,-3220,3490,swipe left
16000000,2915.149,46.734,19.74,-609,28,876,1067.258,28910,13440,-80010,55884,1847.891,11.899,-157.627,-325,83,931,32.981,26810,19600,-63420,38064,swipe left
16000000,1961.463,81.822,82.988,1998,717,1998,2915.149,-107310,98210,237510,16193,-953.686,35.088,63.248,2607,689,1970,1847.891,-136220,84770,317520,-39691,swipe left
16000000,903.851,9.288,151.326,237,1927,279,1961.463,117250,-13720,-717710,27612,-1057.612,-72.534,68.338,-1761,1210,-438,-953.686,224560,-111930,-955220,11419,swipe left
17000000,984.957,11.259,-176.721,-208,-61,1001,1024.2,910,-7980,-14000,16140,-39.243,-0.959,-13.066,-53,25,1087,0.733,70,-3290,-6300,7086,swipe left
17000000,2859.805,45.681,12.446,-192,-11,966,984.957,35560,33600,-109130,37655,1874.848,34.422,189.167,16,50,1027,-39.243,34650,41580,-95130,21515,swipe left
17000000,3011.982,110.3,135.014,1998,441,1998,2859.805,-126910,166740,148750,40130,152.177,64.619,122.568,2190,452,2009,1874.848,-162470,133140,257880,2475,swipe left
17000000,1265.561,28.328,4.106,-1998,1997,-1045,3011.982,101570,-1330,-624750,34624,-1746.421,-81.972,-130.908,-3996,1556,-1486,152.177,228480,-168070,-773500,-5506,swipe left
18000000,961.549,6.691,-178.465,-246,4,1007,1036.619,-770,-3290,-5390,6361,-75.07,-7.038,-357.533,-45,-6,997,49.879,1260,1890,-6230,735,swipe left
18000000,3251.604,58.126,43.65,-112,-3,955,961.549,6440,-6440,-18760,20853,2290.055,51.435,222.115,134,-7,951,-75.07,7210,-3150,-13370,14492,swipe left
18000000,2743.197,47.564,9.294,1998,1906,1717,3251.604,-235830,255640,436030,43036,-508.407,-10.562,-34.356,2110,1909,1720,2290.055,-242270,262080,454790,22183,swipe left
18000000,927.185,7.137,166.446,1998,327,1851,2743.197,171570,161280,-491470,25249,-1816.012,-40.427,157.152,0,-1579,-55,-508.407,407400,-94360,-927500,-17787,swipe left
19000000,1026.741,12.603,163.668,-416,25,933,1021.846,5530,-25060,7000,26600,4.895,-11.466,-12.892,-252,-1,907,-33.301,980,-20930,12320,18473,swipe left
19000000,2370.623,57.949,83.656,-215,63,1002,1026.741,7630,10780,-36050,38393,1343.882,45.346,-80.012,201,38,977,4.895,2100,35840,-43050,11793,swipe left
19000000,2830.889,45.106,4.948,222,1997,1258,2370.623,-113680,-89530,613550,47385,460.266,-12.843,-78.708,437,1934,1195,1343.882,-121310,-100310,649600,8992,swipe left
19000000,1124.1,34.265,175.559,1998,173,1998,2830.889,118580,133070,-288470,57572,-1706.789,-10.841,170.611,1776,-1824,1,460.266,232260,222600,-902020,10187,swipe left
