id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1477.008,22.859,-8.822,567,-88,1361,1477.008,26880,6510,-86170,62411,460.553,10.794,164.42,778,-63,1386,460.553,14980,-3640,-71540,40995,swipe left
10000000,2999.682,70.344,135.014,-1998,1997,1009,2999.682,-45150,-46550,311990,52525,1522.674,47.485,143.836,-2565,2085,1097,1522.674,-72030,-53060,398160,-9886,swipe left
10000000,2656.589,46.549,-4.371,1923,-147,1827,2656.589,24290,14560,-32270,42934,-343.093,-23.795,-139.385,3921,-2144,-170,-343.093,69440,61110,-344260,-9591,swipe left
10000000,877.225,12.629,-168.572,-188,-38,856,877.225,-13930,-8120,17010,23437,-1779.364,-33.92,-164.201,-2111,109,1003,-1779.364,-38220,-22680,49280,-19497,swipe left
11000000,1079.447,1.649,3.691,31,2,1079,1079.447,29820,17500,-23450,41777,66.336,-2.05,99.837,38,67,1144,66.336,33880,18270,-15260,32604,swipe left
11000000,2476.054,66.457,123.081,-1239,1902,989,2476.054,-89810,-18410,501270,44478,1396.607,64.808,119.39,-1270,1900,987,1396.607,-119630,-35910,524720,2701,swipe left
11000000,2781.141,46.681,-9.271,1997,-326,1908,2781.141,-11200,-50190,16240,53927,305.087,-19.776,-132.352,3236,-2228,6,305.087,78610,-31780,-485030,9449,swipe left
11000000,923.539,26.57,-178.751,-413,-9,826,923.539,-11340,-7350,3010,13844,-1857.602,-20.111,-169.48,-2410,317,1152,-1857.602,-140,42840,-13230,-40083,swipe left
12000000,1074.304,14.729,174.748,-272,25,1039,1074.304,-7140,2520,-26390,27454,73.918,6.875,0.626,-136,11,1025,73.918,-770,7070,-20930,17910,swipe left
12000000,2706.604,49.438,13.786,1997,490,1760,2706.604,-8470,99890,307860,41812,1632.3,34.709,-160.962,2269,465,1735,1632.3,-1330,97370,334250,14358,swipe left
12000000,1870.345,48.144,26.84,1243,629,1248,1870.345,175280,82040,-533330,63772,-836.259,-1.294,13.054,-754,139,758,-836.259,183750,-17850,-841190,21960,swipe left
12000000,1066.498,4.642,116.861,-39,77,1063,1066.498,-4130,-18480,28000,33801,-803.847,-43.502,90.021,-1282,-552,434,-803.847,-179410,-100520,561330,-29971,swipe left
13000000,927.393,8.585,171.694,-137,20,917,927.393,18900,11270,-45220,50289,-118.379,2.562,333.093,-33,55,952,-118.379,17010,17570,-35980,38948,swipe left
13000000,2766.343,50.57,110.835,-760,1997,1757,2766.343,-2590,10850,708260,59501,1838.95,41.985,-60.859,-623,1977,1737,1838.95,-21490,-420,753480,9212,swipe left
13000000,1844.985,59.694,-9.503,1571,-263,931,1844.985,36610,52710,-170100,54661,-921.358,9.124,-120.338,2331,-2260,-1066,-921.358,39200,41860,-878360,-4840,swipe left
13000000,1013.38,13.349,-168.161,-229,-48,986,1013.38,-9310,-16870,-5600,20065,-831.605,-46.345,-158.658,-1800,215,1249,-831.605,-45920,-69580,164500,-34596,swipe left
14000000,945.223,2.915,-163.072,-46,-14,944,945.223,-1820,-980,-15050,15191,-95.481,-6.046,10.197,115,5,963,-95.481,-1680,9030,-10430,4166,swipe left
14000000,2631.422,49.642,-5.178,1997,-181,1704,2631.422,14700,50680,107100,37014,1686.199,46.727,157.894,2043,-167,1718,1686.199,16520,51660,122150,21823,swipe left
14000000,2924.176,105.857,135.259,-1998,1980,-799,2924.176,-77000,69720,-350770,26181,292.754,56.215,140.437,-3995,2161,-618,292.754,-91700,19040,-457870,-10833,swipe left
14000000,1238.495,11.872,47.544,172,188,1212,1238.495,-3360,-17220,14280,22621,-1685.681,-93.985,-87.715,2170,-1792,-768,-1685.681,73640,-86940,365050,-3560,swipe left
