id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,959.126,15.329,-176.155,-103,-47,1019,1025.27,490,-2590,490,2681,-66.144,8.99,-20.683,-5,2,1068,15.31,0,3640,70,-3582,swipe left
10000000,1845.363,64.618,9.982,-253,-17,925,959.126,8960,-12600,-13090,20258,886.237,49.289,186.137,-150,30,972,-66.144,8470,-10010,-13580,17577,swipe left
10000000,2192.262,65.732,-1.347,1642,289,791,1845.363,-45850,-10430,329630,59099,346.899,1.114,-11.329,1895,306,808,886.237,-54810,2170,342720,38841,swipe left
10000000,1049.758,11.134,151.412,1998,-47,901,2192.262,52150,84910,-296170,56184,-1142.504,-54.598,152.759,356,-336,612,346.899,98000,95340,-625800,-2915,swipe left
11000000,1015.815,7.554,174.844,-90,3,987,991.099,140,-3780,-1890,4228,24.716,2.341,-3.246,33,0,984,-29.345,2240,-770,-1540,542,swipe left
11000000,2575.128,51.016,3.494,-133,12,1007,1015.815,-1750,-4340,-5250,7032,1559.313,43.462,-171.35,-43,9,1004,24.716,-1890,-560,-3360,2804,swipe left
11000000,2445.741,57.669,14.802,1998,122,1620,2575.128,-106820,-59570,354620,57231,-129.387,6.653,11.308,2131,110,1608,1559.313,-105070,-55230,359870,50199,swipe left
11000000,1026.696,6.038,143.66,1998,528,1308,2445.741,120400,107450,-495670,33874,-1419.045,-51.631,128.858,0,406,1186,-129.387,227220,167020,-850290,-23357,swipe left
12000000,993.887,12.587,-175.763,-163,-26,995,1008.598,-700,-3360,-2310,4137,-14.711,3.168,-4.826,40,-2,1019,8.486,1400,1680,-490,-1618,swipe left
12000000,2827.937,45.047,-3.294,-216,-16,970,993.887,2170,-4620,-3080,5961,1834.05,32.46,172.469,-53,10,996,-14.711,2870,-1260,-770,1824,swipe left
12000000,2146.27,106.651,135.118,1998,-115,1998,2827.937,-36750,61880,101780,51516,-681.667,61.604,138.412,2214,-99,2014,1834.05,-38920,66500,104860,45555,swipe left
12000000,1016.498,14.07,149.076,-1457,1451,-615,2146.27,-20440,5950,-445270,33912,-1129.772,-92.581,13.958,-3455,1566,-500,-681.667,16310,-55930,-547050,-17604,swipe left
13000000,1257.755,22.501,-17.531,-149,-8,1010,1020.962,-700,-3290,1750,3791,236.793,14.098,159.395,-39,8,1026,7.846,-3080,-1120,3920,-92,swipe left
13000000,1753.031,59.981,129.573,459,-145,1162,1257.755,9800,8260,-13020,18269,495.276,37.48,147.104,608,-137,1170,236.793,10500,11550,-14770,14478,swipe left
13000000,2846.341,45.416,-9.741,-967,1170,877,1753.031,-93730,-58100,370790,60143,1093.31,-14.565,-139.314,-1426,1315,1022,495.276,-103530,-66360,383810,41874,swipe left
13000000,1011.622,33.763,174.897,1998,-343,1998,2846.341,69720,55090,-130480,58702,-1834.719,-11.653,184.638,2965,-1513,828,1093.31,163450,113190,-501270,-1441,swipe left
14000000,968.516,6.118,144.462,-146,-10,989,999.768,3360,8750,-10990,14444,-31.252,-2.298,320.543,-1,-2,997,-31.507,4130,10850,-6930,9809,swipe left
14000000,1758.493,60.272,96.58,-84,60,963,968.516,48370,64680,-89110,39734,789.977,54.154,-47.882,62,70,973,-31.252,45010,55930,-78120,25290,swipe left
14000000,2825.613,45,0.258,-175,1517,872,1758.493,-120260,-111650,498330,19572,1067.12,-15.272,-96.322,-91,1457,812,789.977,-168630,-176330,587440,-20162,swipe left
