id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,844.058,33.11,-179.005,-125,-95,1024,1035.966,3290,-5250,-5180,8075,-191.908,24.394,-36.24,30,-1,1118,31.474,3570,-1540,-2310,3377,swipe left
10000000,2285.946,53.74,104.066,-461,-8,707,844.058,-11620,-61040,-8260,62682,1441.888,20.63,283.071,-336,87,802,-191.908,-14910,-55790,-3080,54607,swipe left
10000000,2287.498,52.674,0.346,-448,1788,1352,2285.946,-50750,46270,486150,23240,1.552,-1.066,-103.72,13,1796,1360,1441.888,-39130,107310,494410,-39442,swipe left
10000000,901.226,7.747,-145.394,1819,-11,1387,2287.498,100170,52850,-266910,49635,-1386.272,-44.927,-145.74,2267,-1799,-401,1.552,150920,6580,-753060,26395,swipe left
11000000,1003.13,18.731,175.192,-205,-23,1007,1027.911,1400,-3780,-2870,4948,-24.781,7.154,348.79,-19,19,1049,8.911,980,-980,-140,1015,swipe left
11000000,2986.789,71.048,135.014,-321,27,950,1003.13,9030,1190,-21490,23340,1983.659,52.317,-40.178,-116,50,973,-24.781,7630,4970,-18620,18392,swipe left
11000000,2270.931,40.687,-1.47,-1998,1997,970,2986.789,-8330,-65100,95760,24340,-715.858,-30.361,-136.484,-1677,1970,943,1983.659,-17360,-66290,117250,1000,swipe left
11000000,1081.044,16.222,-179.43,1480,-38,1722,2270.931,-8960,22750,-35420,43039,-1189.887,-24.465,-177.96,3478,-2035,-275,-715.858,-630,87850,-131180,18699,swipe left
12000000,1091.163,10.175,-55.568,-180,-32,1003,1019.525,-5040,-3500,-11550,13078,71.638,-0.155,114.351,8,-28,1007,3.965,-10780,9380,210,-5283,swipe left
12000000,2865.549,80.336,135.014,109,-159,1074,1091.163,4900,-17010,-81480,51549,1774.386,70.161,190.582,289,-127,1106,71.638,9940,-13510,-69930,38471,swipe left
12000000,2227.552,44.529,0.733,-1998,1997,481,2865.549,4340,-69440,-113890,25135,-637.997,-35.807,-134.281,-2107,2156,640,1774.386,-560,-52430,-32410,-26414,swipe left
12000000,1152.467,22.853,177.054,1562,-20,1588,2227.552,-17570,12320,-32480,38928,-1075.085,-21.676,176.321,3560,-2017,-409,-637.997,-21910,81760,81410,13793,swipe left
13000000,923.225,27.888,176.415,-215,-55,1003,1027.258,-1050,-5040,-2380,5671,-104.033,15.412,342.065,-33,-12,1046,-4.826,-420,-1750,-630,1892,swipe left
13000000,3338.39,57.798,135.014,-431,27,816,923.225,13230,-9800,-42630,45698,2415.165,29.91,-41.401,-216,82,871,-104.033,14280,-4760,-40250,40027,swipe left
13000000,2415.96,52.492,-3.47,-1998,1997,1779,3338.39,7420,-82740,215320,41521,-922.43,-5.306,-138.484,-1567,1970,1752,2415.165,-5810,-72940,257950,-4177,swipe left
13000000,1156.063,28.496,177.402,1913,-116,1471,2415.96,6230,24920,-83090,57173,-1259.897,-23.996,180.872,3911,-2113,-526,-922.43,-1190,107660,-298410,15652,swipe left
14000000,876.306,18.912,179.193,-212,-37,1004,1026.805,-700,-4410,-6230,7664,-150.499,6.814,349.292,-55,15,1056,21.113,-560,-1890,-5040,4874,swipe left
14000000,3041.864,65.073,133.619,-284,4,829,876.306,27580,6930,-47950,55748,2165.558,46.161,-45.574,-72,41,866,-150.499,28280,11340,-41720,48084,swipe left
14000000,2825.957,45.007,-1.29,-1903,1997,1282,3041.864,-107940,-71470,537390,24583,-215.907,-20.066,-134.909,-1619,1993,1278,2165.558,-135520,-78400,585340,-31165,swipe left
14000000,1224.175,49.008,174.659,1998,-45,1998,2825.957,9590,18130,-145530,11171,-1601.782,4.001,175.949,3901,-2042,1,-215.907,117530,89600,-682920,-13412,swipe left
15000000,1079.78,12.298,-126.869,-191,-74,977,998.241,-350,-5950,-5320,7989,81.539,0.458,31.952,-42,10,1061,-37.973,-910,-2730,1260,643,swipe left
15000000,3317.248,58.383,135.014,-138,-184,1055,1079.78,3500,-7630,-24360,25765,2237.468,46.085,261.883,53,-110,1129,81.539,3850,-1680,-19040,17776,swipe left
15000000,2771.423,46.406,-5.489,-1998,1997,1739,3317.248,106750,-1120,-27860,59858,-545.825,-11.977,-140.503,-1860,2181,1923,2237.468,103250,6510,-3500,34093,swipe left
15000000,1286.959,32.451,174.182,1998,-192,1911,2771.423,-18200,11690,-58100,61996,-1484.464,-13.955,179.671,3996,-2189,-86,-545.825,-124950,12810,-30240,2138,swipe left
16000000,956.369,30.622,-178.588,-165,-64,1005,1020.463,-280,-4200,-7560,8652,-64.094,20.635,-19.789,27,-2,1067,7.173,1610,840,-4970,2679,swipe left
16000000,3440.548,54.498,44.493,-487,-12,823,956.369,20370,20930,-42280,51386,2484.179,23.876,223.081,-322,52,887,-64.094,20650,25130,-34720,42734,swipe left
16000000,2846.704,45.423,9.824,1998,1963,1998,3440.548,-328580,-72590,676060,57927,-593.844,-9.075,-34.669,2485,1975,2010,2484.179,-348950,-93520,718340,6541,swipe left
16000000,998.125,19.131,175.265,1998,346,1998,2846.704,289870,120680,-447370,48738,-1848.579,-26.292,165.441,0,-1617,35,-593.844,618450,193270,-1123430,-9189,swipe left
17000000,1070.404,9.732,-156.551,-149,-72,1002,1015.573,-210,-6230,-11130,12756,54.831,0.355,-2.342,54,-13,1061,2.276,350,840,-6930,4514,swipe left
17000000,2879.088,101.134,135.014,-166,-72,1055,1070.404,15960,210,-33250,36882,1808.684,91.402,291.565,-17,0,1127,54.831,16170,6440,-22120,24126,swipe left
17000000,2042.411,34.261,-7.495,-1998,1997,-556,2879.088,44310,10710,163590,55407,-836.677,-66.873,-142.509,-1832,2069,-484,1808.684,28350,10500,196840,18525,swipe left
17000000,1028.228,15.672,-164.762,1140,-150,1688,2042.411,-13720,-15750,53060,57023,-1014.183,-18.589,-157.267,3138,-2147,-309,-836.677,-58030,-26460,-110530,1616,swipe left
18000000,1068.917,28.988,-179.336,-213,-72,989,1014.235,-2800,-4690,-3780,6642,54.682,16.181,-18.013,9,-3,1058,-26.073,-2590,1050,1190,-953,swipe left
18000000,2838.66,45.263,-7.752,-518,-6,935,1068.917,3850,-1540,-29120,29413,1769.743,16.275,171.584,-305,66,1007,54.682,6650,3150,-25340,22771,swipe left
18000000,2829.362,93.221,135.014,1998,-272,1998,2838.66,18760,98420,-196490,37444,-9.298,47.958,142.766,2516,-266,2004,1769.743,14910,99960,-167370,8031,swipe left
18000000,1826.597,42.579,-6.877,-1998,1997,-159,2829.362,-64190,-61880,-260120,50965,-1002.765,-50.642,-141.891,-3996,2269,113,-9.298,-82950,-160300,-63630,13521,swipe left
19000000,1029.249,23.483,165.455,-269,-48,955,993.322,3080,-6860,-12040,14195,35.927,7.516,335.337,-43,6,1009,-9.956,5460,-2240,-8750,8045,swipe left
19000000,3034.415,68.583,135.014,-397,103,944,1029.249,60480,71960,-175000,28396,2005.166,45.1,-30.441,-128,151,992,35.927,57400,78820,-162960,14201,swipe left
19000000,2444.897,54.694,-7.313,-1998,1997,1108,3034.415,770,-26460,41510,49232,-589.518,-13.889,-142.327,-1601,1894,1005,2005.166,-59710,-98420,216510,20836,swipe left
19000000,1018.012,31.499,-175.146,1979,-254,1413,2444.897,-4970,17990,-10780,21553,-1426.885,-23.195,-167.833,3977,-2251,-584,-589.518,-5740,44450,-52290,-27679,swipe left
