id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1136.407,3.729,-23.096,68,-29,1134,1136.407,26950,21280,-50610,61159,148.147,-6.353,-190.746,237,-66,1097,148.147,28560,23450,-49280,58148,swipe left
10000000,3007.153,69.949,135.014,-1998,1997,1031,3007.153,-97720,-67550,413140,10642,1870.746,66.22,158.11,-2066,2026,1060,1870.746,-124670,-88830,463750,-50517,swipe left
10000000,2511.294,39.276,-6.682,1579,-185,1944,2511.294,56980,12040,-79660,33874,-495.859,-30.673,-141.696,3577,-2182,-53,-495.859,154700,79590,-492800,23232,swipe left
10000000,914.576,24.383,167.767,-369,80,833,914.576,7070,-6580,-13510,16607,-1596.718,-14.893,174.449,-1948,265,1018,-1596.718,-49910,-18620,66150,-17267,swipe left
11000000,1001.419,21.302,166.001,-353,88,933,1001.419,-980,630,3500,3688,-1.923,10.034,4.436,-167,26,871,-1.923,140,1820,10150,-3159,swipe left
11000000,2842.179,83.677,135.014,-1998,1997,313,2842.179,-135100,-115920,635320,39105,1840.76,62.375,-30.987,-1645,1909,225,1840.76,-134120,-116550,631820,35417,swipe left
11000000,2739.302,47.234,-6.768,1997,-237,1860,2739.302,44520,44940,-155750,49898,-102.877,-36.443,-141.782,3995,-2234,-137,-102.877,179620,160860,-791070,10793,swipe left
11000000,885.036,18.356,163.32,-267,80,840,885.036,12040,2240,-16940,20903,-1854.266,-28.878,170.088,-2264,317,1077,-1854.266,-32480,-42700,138810,-28995,swipe left
12000000,993.312,12.166,161.045,-198,68,971,993.312,-3710,-4970,-2800,6804,-4.976,2.808,7.768,-53,-5,898,-4.976,1400,3220,2030,-3990,swipe left
12000000,2827.313,45.034,3.353,1997,117,1998,2827.313,-43330,171920,255920,49393,1834.001,32.868,-157.692,2195,49,1930,1834.001,-39620,176890,258720,42589,swipe left
12000000,1408.812,97.873,86.549,84,1393,-193,1408.812,155890,125020,-566370,64995,-1418.501,52.839,83.196,-1913,1276,-310,-1418.501,199220,-46900,-822290,15602,swipe left
12000000,1247.534,25.607,150.439,-469,266,1125,1247.534,-20300,-42700,81830,18482,-161.278,-72.266,63.89,-553,-1127,-268,-161.278,-176190,-167720,648200,-46513,swipe left
13000000,1035.538,8.561,157.094,-142,60,1024,1035.538,9310,-7140,-18130,21595,45.619,0.444,-3.693,-10,14,978,45.619,6580,-1540,-9940,11305,swipe left
13000000,2731.24,56.737,29.022,1997,1108,1498,2731.24,-95970,-36960,450590,56162,1695.702,48.176,-128.072,2139,1048,1438,1695.702,-105280,-29820,468720,34567,swipe left
13000000,2825.913,45.006,2.179,1997,76,1998,2825.913,161140,157920,-398440,59167,94.673,-11.731,-26.843,0,-1032,890,94.673,257110,194880,-849030,3005,swipe left
13000000,1192.18,46.608,164.054,-833,238,819,1192.18,-22400,-9100,44100,50292,-1633.733,1.602,161.875,-2830,162,743,-1633.733,-183540,-167020,442540,-8875,swipe left
14000000,1016.221,14.466,158.994,-237,91,984,1016.221,11550,-11900,-100520,42300,27.779,5.74,-14.497,-88,74,967,27.779,15680,-5880,-101220,34967,swipe left
14000000,3403.294,56.103,135.014,-1998,1997,1898,3403.294,-19950,-202860,486290,56126,2387.073,41.637,-23.98,-1761,1906,1807,2387.073,-31500,-190960,586810,13826,swipe left
14000000,2476.344,52.979,-7.556,1960,-260,1491,2476.344,-25270,-46760,-8680,53855,-926.95,-3.124,-142.57,3958,-2257,-506,-926.95,-5320,156100,-494970,-2271,swipe left
14000000,841.819,11.809,-176.672,-172,-10,824,841.819,-1330,13020,-15540,20317,-1634.525,-41.17,-169.116,-2132,250,1084,-1634.525,23940,59780,-6860,-33538,swipe left
15000000,926.156,16.062,153.334,-229,115,890,926.156,32130,22260,-120820,56924,-54.901,15.442,194.519,-237,122,897,-54.901,30730,20790,-112980,48826,swipe left
15000000,2853.07,81.94,135.014,-1998,1997,400,2853.07,-121240,-93310,394380,53364,1926.914,65.878,-18.32,-1769,1882,285,1926.914,-153370,-115570,515200,-3560,swipe left
15000000,1597.917,28.595,8.193,757,109,1403,1597.917,-36400,350,61320,28111,-1255.153,-53.345,-126.821,2755,-1888,-594,-1255.153,84840,93660,-333060,-25253,swipe left
