id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1317,22.585,-164.754,-488,-133,1216,1317,-1750,-15540,4970,16408,333.423,17.697,-145.239,-567,-105,1244,333.423,10570,-14770,-17430,-9168,swipe left
10000000,2650.223,67.153,125.147,-1406,1997,1029,2650.223,-28910,-30940,-76720,58172,1333.223,44.568,289.901,-918,2130,1162,1333.223,-27160,-15400,-81690,41764,swipe left
10000000,1997.535,61.013,72.342,530,1665,968,1997.535,377720,-12880,845950,61410,-652.688,-6.14,-52.805,1936,-332,-1029,-652.688,406630,18060,922670,3238,swipe left
10000000,1203.929,26.546,-124.014,-301,-446,1077,1203.929,-82460,32620,-439530,59007,-793.606,-34.467,-196.356,-831,-2111,-588,-793.606,-460180,45500,-1285480,-2403,swipe left
11000000,1073.244,11.146,-33,174,-113,1053,1073.244,-31640,6930,-20790,38488,152.958,-16.395,-37.853,-250,-149,1017,152.958,-26110,47670,-65170,-22009,swipe left
11000000,2943.893,69.291,133.513,-1896,1997,1041,2943.893,-14700,-980,-53690,55674,1870.649,58.145,166.513,-2070,2110,1154,1870.649,16940,-7910,-32900,17186,swipe left
11000000,3205.823,61.757,45,1997,1997,1517,3205.823,374220,-55230,807170,6739,261.93,-7.534,-88.513,3893,0,-480,261.93,388920,-54250,860860,-48935,swipe left
11000000,1230.185,18.589,-109.358,-130,-370,1166,1230.185,-12390,63000,-236810,8482,-1975.638,-43.168,-154.358,-2127,-2367,-831,-1975.638,-386610,118230,-1043980,1743,swipe left
12000000,1126.071,13.27,-100.701,-48,-254,1096,1126.071,-10080,4340,7980,13569,269.923,2.84,-87.651,-199,-219,1131,269.923,-16450,1120,-3500,52,swipe left
12000000,3118.901,62.44,135.732,-1980,1930,1443,3118.901,-19250,1750,-30520,36126,1992.83,49.17,236.433,-1932,2184,1697,1992.83,-9170,-2590,-38500,22557,swipe left
12000000,2896.679,77.154,45,1997,1997,644,2896.679,382760,-120050,893900,46869,-222.222,14.714,-90.732,3977,67,-1286,-222.222,402010,-121800,924420,10743,swipe left
12000000,1217.462,38.408,-140.902,-587,-477,954,1217.462,-1610,97720,-430570,40850,-1679.217,-38.746,-185.902,-2584,-2474,-1043,-1679.217,-384370,217770,-1324470,-6019,swipe left
13000000,1027.669,4.843,-27.45,77,-40,1024,1027.669,280,-4550,-4690,6540,-43.02,0.085,8.387,5,12,1076,-43.02,-11200,4620,-10150,-9134,swipe left
13000000,2603.634,69.542,35.051,1997,1401,910,2603.634,-7280,-9170,-19110,22411,1575.965,64.699,62.501,1920,1441,950,1575.965,-7560,-4620,-14420,15871,swipe left
13000000,2587.028,54.098,-162.446,-1998,-632,1517,2587.028,-47040,-15750,-25060,55577,-16.606,-15.444,-197.497,-3995,-2033,116,-16.606,-39760,-6580,-5950,33166,swipe left
13000000,732.467,51.297,-120.602,-291,-492,458,732.467,-122710,-44940,-265650,41808,-1854.561,-2.801,41.844,1707,140,1090,-1854.561,-75670,-29190,-240590,-13769,swipe left
14000000,1174.765,8.115,-112.699,-64,-153,1163,1174.765,-14070,910,12950,19144,265.299,-12.541,-116.81,-384,-176,1140,265.299,-40180,32340,-218330,-41025,swipe left
14000000,2708.126,56.314,27.599,1997,1044,1502,2708.126,-210,-5810,-29960,30518,1533.361,48.199,140.298,2061,1197,1655,1533.361,13860,-6720,-42910,11374,swipe left
14000000,2359.924,65.036,-159.049,-1998,-765,996,2359.924,-44520,8260,-125790,26334,-348.202,8.722,-186.648,-3995,-1809,-48,-348.202,-44310,14070,-95830,-4184,swipe left
14000000,1766.593,76.68,12.395,1679,369,407,1766.593,-66920,-77070,-239890,59504,-593.331,11.644,171.444,3677,1134,1172,-593.331,-22400,-85330,-114100,33170,swipe left
15000000,1269.932,24.236,-128.848,-327,-406,1158,1269.932,1120,10990,4270,11843,254.38,16.795,-83.848,-420,-313,1251,254.38,-3990,-3920,5530,-3968,swipe left
15000000,3329.433,53.122,138.607,-1998,1761,1998,3329.433,-42630,14350,-45150,63731,2059.501,28.886,267.455,-1671,2167,2404,2059.501,-43750,3360,-49420,51888,swipe left
15000000,3176.019,61.98,44.58,1997,1968,1492,3176.019,237370,-85890,719670,42730,-153.414,8.858,-94.027,3995,207,-269,-153.414,280000,-100240,764820,-21001,swipe left
15000000,986.955,30.2,-123.498,-274,-414,853,986.955,19040,111930,-228970,29893,-2189.064,-31.78,-168.078,-2271,-2382,-1115,-2189.064,-218330,197820,-948640,-12837,swipe left
16000000,1109.699,14.156,-143.087,-217,-163,1076,1109.699,-3150,11620,3500,12537,226.466,2.494,-130.141,-391,-123,1116,226.466,-2870,4690,5880,5205,swipe left
16000000,2825.233,91.561,45,1997,1997,-77,2825.233,-5880,1400,-10920,12481,1715.534,77.405,188.087,2214,2160,86,1715.534,-2730,-10220,-14420,-56,swipe left
16000000,2028.135,88.643,-170.203,-1998,-345,48,2028.135,-17010,-81900,302120,61515,-797.098,-2.918,-215.203,-3995,-2342,-1949,-797.098,-11130,-83300,313040,49034,swipe left
16000000,915.238,33.067,-122.321,-267,-422,767,915.238,-124110,58870,-294910,52551,-1112.897,-55.576,47.882,1731,-77,1112,-1112.897,-107100,140770,-597030,-8964,swipe left
17000000,1072.135,12.431,-132.19,-155,-171,1047,1072.135,-29400,9170,-17360,35352,46.548,5.012,-119.099,-284,-141,1077,46.548,-73710,28700,-157430,13226,swipe left
17000000,3054,67.595,44.985,1997,1996,1164,3054,-3080,-3150,-19950,20430,1981.865,55.164,177.175,2152,2167,1335,1981.865,26320,-12320,-2590,-14922,swipe left
17000000,2135.066,80.864,-161.41,-1998,-672,339,2135.066,-7980,-57750,-40180,26799,-918.934,13.269,-206.395,-3995,-2668,-1657,-918.934,-4900,-54600,-20230,6369,swipe left
17000000,799.863,34.397,-35.906,366,-265,660,799.863,-108920,18340,-273210,30729,-1335.203,-46.467,125.504,2364,407,1332,-1335.203,-100940,76090,-233030,3930,swipe left
18000000,1080.851,13.944,-137.489,-192,-176,1049,1080.851,3150,2590,-6790,7920,53.37,8.591,-67.626,-225,-86,1139,53.37,21210,700,10080,-16865,swipe left
18000000,3006.146,110.037,45,1997,1997,-1030,3006.146,1120,-21840,-26180,34112,1925.295,96.093,182.489,2189,2173,-854,1925.295,-2030,-24430,-19390,26192,swipe left
18000000,2269.947,69.282,160.148,-1997,721,803,2269.947,-4690,-19740,566440,58637,-736.199,-40.755,115.148,-3994,-1276,-1194,-736.199,-5810,2100,592620,24525,swipe left
18000000,1283.733,39.469,-17.324,779,-243,991,1283.733,-70560,66710,-407330,59564,-986.214,-29.813,-177.472,2776,-964,270,-986.214,-65870,86450,-973770,927,swipe left
19000000,1087.031,30.356,165.559,-532,137,938,1087.031,23520,19040,-56840,64393,109.81,26.492,33.637,-488,88,889,109.81,26320,25410,-48580,53593,swipe left
19000000,3362.929,56.788,44.784,1997,1982,1842,3362.929,-163240,-50680,513450,28087,2275.898,26.432,-120.775,2529,1845,1705,2275.898,-186760,-69720,570290,-36306,swipe left
19000000,2825.55,44.999,-1.749,1997,-61,1998,2825.55,149100,65800,-363090,61448,-537.379,-11.789,-46.533,0,-2043,16,-537.379,312340,116480,-876540,33361,swipe left
19000000,1344.461,46.937,167.237,-958,217,918,1344.461,-3500,-4830,17080,18091,-1481.089,1.938,168.986,-2955,278,979,-1481.089,-152600,-70630,380170,-43357,swipe left
