sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
274,14000000,2267.095,79.272,120.156,-1119,1926,422,2267.095,-146720,-132090,-714490,63321,1030.279,51.967,289.182,-562,2034,530,1030.279,-148750,-162190,-730450,29192,-40.884,swipe right
275,14000000,3211.077,56.421,138.318,-1998,1779,1776,3211.077,-404180,49980,1142330,43571,943.982,-22.851,18.162,-879,-147,-150,943.982,-257460,182070,1856820,-19750,-81.897,swipe right
276,14000000,1115.739,5.282,-58.94,53,-88,1111,1115.739,8120,1470,-46200,46931,-2095.34,-51.139,-197.258,2051,-1867,-668,-2095.34,412300,-48510,-1188530,3360,64.222,swipe right
281,15000000,1054.334,2.883,-134.236,-37,-38,1053,1054.334,-5600,13300,55720,57558,40.58,-4.652,0.154,56,57,1148,40.58,-5180,10850,30660,32376,137.119,swipe right
282,15000000,2303.725,60.454,-175.507,-1998,-157,1136,2303.725,-64750,29680,-91560,23912,1249.391,57.571,-41.271,-1961,-119,1174,1249.391,-59150,16380,-147280,-33646,235.961,swipe right
283,15000000,2848.889,82.557,44.985,1998,1997,369,2848.889,-178920,258930,-595000,45940,545.164,22.103,220.492,3996,2154,526,545.164,-114170,229250,-503440,22028,37.572,swipe right
284,15000000,1832.422,56.289,15.759,1467,414,1017,1832.422,253610,113260,-587370,35250,-1016.47,-26.268,-29.226,-531,-1583,-980,-1016.47,432530,-145670,7630,-10690,40.53,swipe right
289,16000000,1408.176,37.445,-175.914,-854,-61,1118,1408.176,-17080,52920,106120,38324,431.707,33.37,-139.705,-910,-20,1159,431.707,-10500,37030,81410,8218,213.359,swipe right
290,16000000,2497.582,97.407,126.263,-1465,1997,-322,2497.582,-230720,-236880,-1036140,42590,1089.406,59.962,302.177,-611,2058,-261,1089.406,-213640,-289800,-1142260,4266,-28.856,swipe right
291,16000000,2042.89,79.108,174.852,-1998,180,386,2042.89,-258230,54810,20300,37141,-454.692,-18.299,48.589,-533,-1817,-1611,-454.692,-27510,291690,1056440,-5449,-95.744,swipe right
292,16000000,1006.406,5.363,-136.292,-68,-65,1002,1006.406,-14420,-3500,-2590,15063,-1036.48,-73.745,-311.144,1930,-245,822,-1036.48,243810,-58310,-22890,-22078,141.655,swipe right
297,17000000,1093.714,9.083,-64.622,44,-192,1024,1042.773,-3990,-7770,5040,10084,50.941,-1.805,12.47,24,-15,1201,48.684,-2310,-2590,1050,3334,73.705,swipe right
298,17000000,2413.107,56.439,173.518,74,-156,1080,1093.714,-5740,4830,26320,27368,1319.393,47.356,238.14,30,36,1272,50.941,-1750,12600,21280,17284,-117.079,swipe right
299,17000000,3370.991,54.092,132.996,-1998,227,1334,2413.107,-77280,-11830,-298550,27476,957.884,-2.347,-40.522,-2072,383,1490,1319.393,-71540,-16660,-324870,108,-78.904,swipe right
300,17000000,1523.095,22.711,-163.907,-1862,1997,1977,3370.991,522550,-325710,2082220,56626,-1847.9,-31.381,-296.903,136,1770,1750,957.884,599830,-313880,2380770,29150,186.618,swipe right
305,18000000,921.188,12.017,-78.572,-41,-200,1021,1041.211,2100,-10990,7000,13198,-120.023,0.71,23.013,-56,9,1230,22.43,2800,-5250,6440,7389,90.589,swipe right
306,18000000,1824.478,38.036,-166.26,38,-188,901,921.188,2590,2800,27650,27911,903.29,26.019,-87.688,79,12,1101,-120.023,490,13790,20650,14713,204.296,swipe right
307,18000000,3219.648,61.303,45,-1092,-267,1437,1824.478,-3080,-68180,58310,61344,1395.17,23.267,211.26,-1130,-79,1625,903.29,-5670,-70980,30660,33433,16.303,swipe right
308,18000000,879.973,54.018,150.374,1997,1997,1546,3219.648,-257740,285390,-1139110,48372,-2339.68,-7.285,105.374,3089,2264,1813,1395.17,-254660,353570,-1197420,-12972,-96.356,swipe right
313,19000000,1088.035,23.866,-165.395,147,-166,925,951.204,-2590,-8120,26600,27932,136.831,10.386,-116.922,64,49,1140,-97.434,700,-6300,22120,22084,189.261,swipe right
314,19000000,2386.163,78.542,121.358,-426,-111,995,1088.035,16240,-27790,95270,39018,1298.128,54.676,286.753,-573,55,1161,136.831,18830,-19670,68670,11086,-42.816,swipe right
315,19000000,2560.004,52.201,171.012,-1217,1997,474,2386.163,-409150,-93170,-908810,35952,173.841,-26.341,49.654,-791,2108,585,1298.128,-425390,-65380,-1004080,-3066,-118.811,swipe right
316,19000000,1181.467,10.68,-129.068,-1998,316,1569,2560.004,-184940,-8400,7770,65337,-1378.54,-41.521,-300.08,-781,-1681,-428,173.841,224210,84770,916580,29385,139.748,swipe right
