sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
132,16000000,2246.336,78.079,65.312,918,1997,464,2246.336,174650,-42280,875910,25389,-137.335,20.245,237.278,2916,2279,746,-137.335,253960,-21350,762790,-23030,12.767,swipe right
133,16000000,988.824,6.735,-150.561,-101,-57,982,988.824,-7000,-11060,-56140,57645,-1257.512,-71.344,-215.873,-1019,-2054,-1015,-1257.512,-181650,31220,-932050,32256,157.296,swipe right
138,17000000,958.138,2.793,-46.735,32,-34,957,958.138,6160,3780,25060,26081,-47.965,-2.98,13.66,-18,54,1045,-47.965,3640,3360,20510,20863,49.528,swipe right
139,17000000,2303.05,59.033,142.323,-1563,1207,1185,2303.05,-117110,-59010,-599200,50748,1344.912,56.24,189.058,-1595,1241,1219,1344.912,-123270,-62790,-624260,24667,-83.29,swipe right
140,17000000,3268.555,52.317,140.568,-1998,1643,1998,3268.555,248010,36540,1023330,44123,965.505,-6.716,-1.755,-435,436,791,965.505,365120,95550,1622530,-6625,-88.251,swipe right
141,17000000,1045.412,4.63,-126.326,-50,-68,1042,1045.412,16030,21140,-9730,28258,-2223.143,-47.687,-266.894,1948,-1711,-601,-2223.143,-231980,-15400,-1033060,-15865,130.956,swipe right
145,18000000,1092.028,8.859,117.631,-78,149,1079,1092.028,-9170,38710,128450,30034,69.834,6.09,239.39,-52,191,1121,69.834,-13790,38290,119560,20007,-108.772,swipe right
146,18000000,3460.06,54.728,44.985,1998,1997,1998,3460.06,-41440,329980,-1246980,58402,2368.032,45.869,-72.646,2076,1848,1849,2368.032,-32270,291270,-1375430,28368,9.743,swipe right
147,18000000,1534.533,35.646,-169.041,-878,-170,1247,1534.533,13790,-57750,-97020,7294,-1925.527,-19.082,-214.026,-2876,-2167,-750,-1925.527,55230,-387730,1149960,-51108,204.687,swipe right
148,18000000,904.506,13.905,-12.757,212,-48,878,904.506,-10290,13370,-2450,17048,-630.027,-21.741,156.284,1090,122,1048,-630.027,-24080,71120,94570,9754,26.662,swipe right
153,19000000,1000.318,3.901,-92.526,-3,-68,998,1000.318,4970,7770,28700,30145,10.69,-1.642,13.254,23,24,1090,10.69,7000,10220,19950,20835,96.427,swipe right
154,19000000,2509.58,55.04,166.274,-1998,488,1438,2509.58,-52220,20580,-362530,37874,1509.262,51.139,258.8,-1995,556,1506,1509.262,-57190,12810,-391230,7729,-111.234,swipe right
155,19000000,2745.092,55.14,117.554,-1042,1997,1569,2745.092,242130,-25410,1000090,53764,235.512,0.1,-48.72,956,1509,1081,235.512,294350,-45990,1362620,15890,-62.414,swipe right
156,19000000,1145.275,4.334,-139.685,-66,-56,1142,1145.275,14560,11340,10850,21408,-1599.817,-50.806,-257.239,976,-2053,-855,-1599.817,-227570,36750,-989240,-32356,144.019,swipe right
161,10000000,1075.19,9.318,-171.078,-172,-27,1061,1075.19,-16240,18550,32130,40499,127.273,3.48,-130.284,-245,36,1124,127.273,-11620,19460,21980,29310,180.396,swipe right
162,10000000,3460.06,54.728,44.985,1998,1997,1998,3460.06,-71890,51030,-1038660,65230,2384.87,45.41,216.063,2170,2024,2025,2384.87,-55650,32480,-1070790,24731,9.743,swipe right
163,10000000,1428.896,2.029,108.434,-16,48,1428,1428.896,109550,-80920,-325010,62623,-2031.16,-52.699,63.449,-2014,-1949,-569,-2031.16,181440,-131950,713650,-2607,-106.405,swipe right
164,10000000,861.745,7.173,-52.171,66,-85,855,861.745,-3150,-7280,28210,29304,-567.151,5.144,-160.605,82,-133,807,-567.151,-112700,73640,353220,-33319,59.344,swipe right
169,11000000,1149.88,6.271,-139.844,-96,-81,1143,1149.88,-17990,-5250,90160,64692,147.808,5.583,-8.211,-88,-72,1152,147.808,-10500,-5180,136710,17544,146.115,swipe right
170,11000000,2273.461,65.022,165.815,-1998,505,960,2273.461,-47460,-128310,-312690,22952,1123.581,58.751,305.659,-1902,586,1041,1123.581,-29470,-123060,-402850,-41740,-100.793,swipe right
171,11000000,2576.192,66.312,122.167,-1256,1997,1035,2576.192,154490,-130480,1484980,63912,302.731,1.29,-43.648,742,1492,530,302.731,201950,-2170,1797670,40960,-55.855,swipe right
172,11000000,1161.838,15.789,9.283,312,51,1118,1161.838,55790,26250,-30100,20313,-1414.35,-50.523,-112.884,1568,-1946,-879,-1414.35,-98700,156730,-1515080,-43599,6.506,swipe right
177,12000000,1154.281,13.582,154.663,-245,116,1122,1154.281,-8540,-6440,111860,63538,136.89,8.903,266.592,-214,193,1199,136.89,-2380,-3710,84770,35623,-141.081,swipe right
178,12000000,3039.924,48.909,60.649,1123,1997,1998,3039.924,-67970,308070,-1231790,43885,1885.643,35.327,-94.014,1368,1881,1882,1885.643,-59430,314510,-1343650,-19653,-11.74,swipe right
179,12000000,2034.567,98.137,-172.755,-1998,-254,-288,2034.567,-103740,103880,-143780,59758,-1005.36,49.228,-233.404,-3121,-2251,-2285,-1005.36,-35770,-204190,1088010,15873,270.892,swipe right
180,12000000,1239.058,9.234,-140.305,-153,-127,1223,1239.058,1120,-8400,6230,10517,-795.509,-88.903,32.45,1845,127,1477,-795.509,104860,-112280,150010,-49241,149.539,swipe right
185,13000000,976.644,6.162,-122.932,-57,-88,971,976.644,5600,9170,20300,22968,-33.086,0.055,-57.112,-101,10,1069,-33.086,11900,11900,13860,13555,129.094,swipe right
186,13000000,2127.298,40.15,-177.158,-1370,-68,1626,2127.298,-60760,103810,250600,65224,1150.654,33.988,-54.226,-1313,20,1714,1150.654,-66360,94640,230300,42256,217.308,swipe right
187,13000000,2048.262,91.762,77.273,451,1997,-63,2048.262,-220710,-346080,1248310,13611,-79.036,51.612,254.431,1821,2065,5,-79.036,-159950,-449890,997710,-51613,14.489,swipe right
188,13000000,730.263,23.831,-156.214,-270,-119,668,730.263,17150,5810,20790,27569,-1318,-67.931,-233.487,-721,-2116,-1329,-1318,237860,351890,-1227520,13958,180.045,swipe right
193,14000000,1007.243,8.178,-130.471,-93,-109,997,1007.243,7980,-1330,10920,13590,7.013,-2.472,1.239,30,29,1135,7.013,10850,1400,3150,4869,138.649,swipe right
194,14000000,2368.342,60.672,-165.384,-1998,-521,1160,2368.342,-22680,98210,-73570,51838,1361.099,52.494,-34.913,-1905,-412,1269,1361.099,-30660,99540,-84490,38248,226.056,swipe right
195,14000000,2785.909,72.429,131.244,-1751,1997,841,2785.909,150850,-59570,1246980,26748,417.567,11.757,296.628,247,2518,1362,417.567,173530,-157780,1320550,-25090,-58.815,swipe right
196,14000000,1124.433,7.426,-147.075,-122,-79,1115,1124.433,34090,490,27370,43720,-1661.48,-65.003,-278.319,1629,-2076,-882,-1661.48,-116760,60060,-1219610,16972,154.501,swipe right
201,15000000,942.154,7.543,-157.166,-114,-48,934,942.154,-20230,35700,36400,54851,-91.757,-4,-6.705,66,54,1036,-91.757,-18060,33670,20230,38411,164.709,swipe right
202,15000000,1625.583,52.526,-172.472,-1279,-169,989,1625.583,-32690,24360,107870,20324,683.429,44.983,-15.306,-1165,-121,1037,683.429,-12460,-11340,71470,-34527,224.998,swipe right
203,15000000,3184.419,55.361,49.659,1696,1997,1810,3184.419,-88970,254170,-1270080,44655,1558.836,2.835,222.131,2975,2166,1979,1558.836,-56280,229810,-1377950,24331,5.702,swipe right
204,15000000,885.775,40.054,162.963,-545,167,678,885.775,55790,-87780,-451780,13215,-2298.64,-15.307,113.304,-2241,-1830,-1319,-2298.64,144760,-341950,818300,-31440,-122.909,swipe right
209,16000000,1001.86,5.031,-101.821,-18,-86,998,1001.86,5180,2730,34580,35072,-45.039,-2.854,35.153,87,12,1096,-45.039,8820,-2170,29890,27375,106.852,swipe right
210,16000000,2239.085,65.571,-168.541,-1998,-405,926,2239.085,-26180,-23940,10360,36957,1237.225,60.54,-66.72,-1980,-319,1012,1237.225,-31360,-26670,-24220,1885,234.112,swipe right
211,16000000,3460.06,54.728,44.985,1998,1997,1998,3460.06,-35000,289380,-344750,44214,1220.975,-10.843,213.526,3996,2402,2403,1220.975,-8820,313320,-355110,7257,9.743,swipe right
212,16000000,1641.931,42.477,-3.257,1107,-63,1211,1641.931,-44100,-12810,9730,46942,-1818.13,-12.251,-48.242,-891,-2060,-786,-1818.13,-9100,-302190,354480,2728,45.734,swipe right
217,17000000,1076.038,4.965,3.077,93,5,1072,1076.038,3850,1260,65590,4846,90.807,-0.347,105.742,113,94,1161,90.807,2660,5950,54950,-6842,1.888,swipe right
