id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1078.281,18.759,-174.207,-345,-35,1021,1078.281,1190,8190,47950,48658,46.329,10.031,-14.378,-198,19,1075,46.329,4970,17290,39270,35527,swipe right
10000000,2506.034,90.045,127.167,-1514,1997,-2,2506.034,-234150,-125370,-873320,2833,1427.753,71.286,301.374,-1169,2032,33,1427.753,-235340,-133560,-921270,-45825,swipe right
10000000,2198.304,116.299,171.479,-1949,292,-974,2198.304,-173530,-72730,-498330,16348,-307.73,26.254,44.312,-435,-1705,-2971,-307.73,60620,52640,374990,13515,swipe right
10000000,814.388,5.95,-71.35,27,-80,810,814.388,5460,-12040,-4270,13892,-1383.916,-110.349,-242.829,1976,-372,518,-1383.916,178990,60690,494060,-2456,swipe right
11000000,1128.034,18.933,179.373,-366,4,1067,1128.034,-16450,23660,70140,38145,110.022,12.205,324.617,-268,72,1135,110.022,-13230,21140,49420,17026,swipe right
11000000,2460.246,64.452,154.173,-1998,967,1061,2460.246,-98350,-167020,-458500,54566,1332.212,45.519,-25.2,-1632,963,1057,1332.212,-81900,-190680,-528640,16421,swipe right
11000000,3460.06,54.728,135.014,-1998,1997,1998,3460.06,114450,-352380,1769320,59904,999.814,-9.724,-19.159,0,1030,1031,999.814,212800,-185360,2227820,5338,swipe right
11000000,1077.348,9.028,-152.525,-150,-78,1064,1077.348,-2030,5250,-18340,19184,-2382.712,-45.7,-287.539,1848,-2075,-933,-2382.712,-116480,357630,-1787660,-40720,swipe right
12000000,1326.285,7.804,-178.09,-180,-6,1314,1326.285,-64680,68810,59150,61863,304.011,0.509,-35.578,-77,73,1393,304.011,-70490,65940,41230,42808,swipe right
12000000,2524.327,81.686,143.12,-1998,1499,365,2524.327,-56000,-11970,-633360,26405,1198.042,73.882,321.21,-1818,1505,371,1198.042,8680,-80780,-692510,-35458,swipe right
12000000,3460.06,54.728,135.014,-1998,1997,1998,3460.06,-68320,-141400,1698060,19403,935.733,-26.958,-8.106,0,498,499,935.733,-12320,-129430,2331420,-7002,swipe right
12000000,1405.105,4.885,-48.048,80,-89,1400,1405.105,23730,12810,-40320,48506,-2054.955,-49.843,-183.062,2078,-2086,-597,-2054.955,92050,154210,-1738380,29103,swipe right
13000000,1250.594,34.471,-171.469,-700,-105,1031,1250.594,-2450,46830,60550,39628,205.08,22.297,-18.732,-504,-4,1132,205.08,-3010,56630,55930,28780,swipe right
13000000,2112.98,89.349,109.06,-690,1997,24,2112.98,-102060,-160720,-972930,59894,862.386,54.878,280.529,10,2102,129,862.386,-99610,-207550,-1033480,20266,swipe right
13000000,2032.084,83.813,171.488,-1998,299,219,2032.084,-189770,107310,-196770,18632,-80.896,-5.536,62.428,-1308,-1698,-1778,-80.896,-87710,268030,776160,-41262,swipe right
13000000,1021.14,8.471,-125.803,-88,-122,1010,1021.14,-13160,7000,-14700,20935,-1010.944,-75.342,-297.291,1910,-421,711,-1010.944,176610,-100310,182070,2303,swipe right
14000000,1236.816,27.305,-169.026,-557,-108,1099,1236.816,2030,30100,15960,34129,213.007,10.484,-4.892,-272,-27,1180,213.007,0,6230,-53130,1689,swipe right
14000000,2267.095,79.272,120.156,-1119,1926,422,2267.095,-146720,-132090,-714490,63321,1030.279,51.967,289.182,-562,2034,530,1030.279,-148750,-162190,-730450,29192,swipe right
14000000,3211.077,56.421,138.318,-1998,1779,1776,3211.077,-404180,49980,1142330,43571,943.982,-22.851,18.162,-879,-147,-150,943.982,-257460,182070,1856820,-19750,swipe right
14000000,1115.739,5.282,-58.94,53,-88,1111,1115.739,8120,1470,-46200,46931,-2095.338,-51.139,-197.258,2051,-1867,-668,-2095.338,412300,-48510,-1188530,3360,swipe right
15000000,1054.334,2.883,-134.236,-37,-38,1053,1054.334,-5600,13300,55720,57558,40.58,-4.652,0.154,56,57,1148,40.58,-5180,10850,30660,32376,swipe right
15000000,2303.725,60.454,-175.507,-1998,-157,1136,2303.725,-64750,29680,-91560,23912,1249.391,57.571,-41.271,-1961,-119,1174,1249.391,-59150,16380,-147280,-33646,swipe right
15000000,2848.889,82.557,44.985,1998,1997,369,2848.889,-178920,258930,-595000,45940,545.164,22.103,220.492,3996,2154,526,545.164,-114170,229250,-503440,22028,swipe right
15000000,1832.422,56.289,15.759,1467,414,1017,1832.422,253610,113260,-587370,35250,-1016.467,-26.268,-29.226,-531,-1583,-980,-1016.467,432530,-145670,7630,-10690,swipe right
16000000,1408.176,37.445,-175.914,-854,-61,1118,1408.176,-17080,52920,106120,38324,431.707,33.37,-139.705,-910,-20,1159,431.707,-10500,37030,81410,8218,swipe right
16000000,2497.582,97.407,126.263,-1465,1997,-322,2497.582,-230720,-236880,-1036140,42590,1089.406,59.962,302.177,-611,2058,-261,1089.406,-213640,-289800,-1142260,4266,swipe right
16000000,2042.89,79.108,174.852,-1998,180,386,2042.89,-258230,54810,20300,37141,-454.692,-18.299,48.589,-533,-1817,-1611,-454.692,-27510,291690,1056440,-5449,swipe right
16000000,1006.406,5.363,-136.292,-68,-65,1002,1006.406,-14420,-3500,-2590,15063,-1036.484,-73.745,-311.144,1930,-245,822,-1036.484,243810,-58310,-22890,-22078,swipe right
17000000,1093.714,9.083,-64.622,44,-192,1024,1042.773,-3990,-7770,5040,10084,50.941,-1.805,12.47,24,-15,1201,48.684,-2310,-2590,1050,3334,swipe right
17000000,2413.107,56.439,173.518,74,-156,1080,1093.714,-5740,4830,26320,27368,1319.393,47.356,238.14,30,36,1272,50.941,-1750,12600,21280,17284,swipe right
17000000,3370.991,54.092,132.996,-1998,227,1334,2413.107,-77280,-11830,-298550,27476,957.884,-2.347,-40.522,-2072,383,1490,1319.393,-71540,-16660,-324870,108,swipe right
17000000,1523.095,22.711,-163.907,-1862,1997,1977,3370.991,522550,-325710,2082220,56626,-1847.896,-31.381,-296.903,136,1770,1750,957.884,599830,-313880,2380770,29150,swipe right
18000000,921.188,12.017,-78.572,-41,-200,1021,1041.211,2100,-10990,7000,13198,-120.023,0.71,23.013,-56,9,1230,22.43,2800,-5250,6440,7389,swipe right
18000000,1824.478,38.036,-166.26,38,-188,901,921.188,2590,2800,27650,27911,903.29,26.019,-87.688,79,12,1101,-120.023,490,13790,20650,14713,swipe right
18000000,3219.648,61.303,45,-1092,-267,1437,1824.478,-3080,-68180,58310,61344,1395.17,23.267,211.26,-1130,-79,1625,903.29,-5670,-70980,30660,33433,swipe right
18000000,879.973,54.018,150.374,1997,1997,1546,3219.648,-257740,285390,-1139110,48372,-2339.675,-7.285,105.374,3089,2264,1813,1395.17,-254660,353570,-1197420,-12972,swipe right
19000000,1088.035,23.866,-165.395,147,-166,925,951.204,-2590,-8120,26600,27932,136.831,10.386,-116.922,64,49,1140,-97.434,700,-6300,22120,22084,swipe right
19000000,2386.163,78.542,121.358,-426,-111,995,1088.035,16240,-27790,95270,39018,1298.128,54.676,286.753,-573,55,1161,136.831,18830,-19670,68670,11086,swipe right
19000000,2560.004,52.201,171.012,-1217,1997,474,2386.163,-409150,-93170,-908810,35952,173.841,-26.341,49.654,-791,2108,585,1298.128,-425390,-65380,-1004080,-3066,swipe right
19000000,1181.467,10.68,-129.068,-1998,316,1569,2560.004,-184940,-8400,7770,65337,-1378.537,-41.521,-300.08,-781,-1681,-428,173.841,224210,84770,916580,29385,swipe right
