id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1066.032,11.669,-75.77,36,-199,1011,1031.027,560,-3290,8680,9299,35.005,0.358,3.975,6,-9,1201,36.253,980,2450,4130,1963,swipe right
10000000,2391.661,63.316,159.224,53,-209,1044,1066.032,-2450,-140,13440,13662,1325.629,51.647,234.994,17,-10,1243,35.005,-3010,3150,4760,4363,swipe right
10000000,3460.06,54.728,135.014,-1998,758,1074,2391.661,-131250,-52640,-367990,28201,1068.399,-8.588,-24.21,-2051,967,1283,1325.629,-128800,-52500,-381430,14539,swipe right
10000000,1480.316,20.782,-156.314,-1998,1997,1998,3460.06,472290,-224140,1903510,33340,-1979.744,-33.946,-291.328,0,1239,1240,1068.399,603540,-171500,2271500,5139,swipe right
11000000,1004.435,16.911,-43.197,36,-209,1006,1028.111,0,-3150,10430,10895,-23.676,5.007,37.029,-9,6,1221,-6.476,-2030,-70,5180,4479,swipe right
11000000,2786.959,47.383,-166.953,213,-200,961,1004.435,-2800,5530,13090,14483,1782.524,30.472,-123.756,177,9,1170,-23.676,-2800,8680,2660,3588,swipe right
11000000,2882.22,78.553,44.985,-1998,-463,1887,2786.959,-21210,-54040,94640,61130,95.261,31.17,211.938,-2211,-263,2087,1782.524,-18410,-59570,81550,46647,swipe right
11000000,639.405,42.687,-159.474,1998,1997,572,2882.22,-198310,47810,-770630,64211,-2242.815,-35.866,-204.459,3996,2460,1035,95.261,-177100,101850,-865270,3081,swipe right
12000000,1401.66,25.416,-164.97,-21,-187,1020,1037.212,1330,-1050,15680,15771,364.448,14.964,-68.563,-34,-6,1201,27.768,1190,770,10150,9948,swipe right
12000000,2515.343,53.759,100.307,-581,-156,1266,1401.66,17500,-4340,130480,13047,1113.683,28.343,265.277,-560,31,1453,364.448,16170,-3290,114800,-2724,swipe right
12000000,2340.001,65.537,159.727,-363,1996,1487,2515.343,-174020,250320,-676620,31652,-175.342,11.778,59.42,218,2152,1643,1113.683,-191520,254660,-807100,18605,swipe right
12000000,1080.571,9.738,-131.451,-1998,738,969,2340.001,-382620,-99960,-62160,36607,-1259.43,-55.799,-291.178,-1635,-1258,-1027,-175.342,-208600,-350280,614460,4955,swipe right
13000000,1066.806,13.345,-112.19,-3,-176,1008,1023.254,-3990,140,3920,5595,43.552,3.44,-21.214,-67,4,1188,13.027,-3990,2240,-2030,-714,swipe right
13000000,2865.494,71.589,132.734,-93,-228,1038,1066.806,-10990,-27860,4480,30282,1798.688,58.244,244.924,-90,-52,1214,43.552,-7000,-28000,560,24687,swipe right
13000000,2831.136,45.111,174.937,-1845,1997,905,2865.494,-402640,121590,-771470,57183,-34.358,-26.478,42.203,-1752,2225,1133,1798.688,-391650,149450,-775950,26901,swipe right
13000000,1002.198,8.573,-76.056,-1998,177,1998,2831.136,78470,-286650,597590,55298,-1828.938,-36.538,-250.993,-153,-1820,1,-34.358,481110,-408240,1369060,-1885,swipe right
14000000,1031.244,8.838,-54.504,-16,-201,1006,1026.008,-560,-1890,7210,7474,5.236,-2.495,40.047,-48,-5,1202,-14.127,70,2590,3780,1797,swipe right
14000000,2462.452,79.422,138.466,92,-129,1019,1031.244,-13510,-20650,57750,62801,1431.208,70.584,192.97,108,72,1220,5.236,-12950,-18760,50540,55327,swipe right
14000000,2117.648,74.862,167.799,-1812,1605,452,2462.452,-217560,77490,-634550,26911,-344.804,-4.56,29.333,-1904,1734,581,1431.208,-204050,98140,-692300,-35890,swipe right
14000000,818.923,21.678,-12.795,-1998,432,553,2117.648,-355460,-116130,45290,12460,-1298.725,-53.184,-180.594,-186,-1173,-1052,-344.804,-137900,-193620,679840,-14451,swipe right
15000000,1117.725,20.047,-157.115,35,-192,1020,1038.503,1540,-4830,8120,9572,79.222,9.216,-77.447,44,14,1226,20.404,840,70,-5110,-4553,swipe right
15000000,2290.68,63.25,102.507,-353,-149,1050,1117.725,-10500,-10220,113610,15395,1172.955,43.203,259.622,-388,43,1242,79.222,-12040,-5390,105490,5823,swipe right
15000000,2192.621,94.21,155.638,-443,1997,1031,2290.68,-123690,88550,-791210,24769,-98.059,30.96,53.131,-90,2146,1180,1172.955,-113190,98770,-904820,9374,swipe right
15000000,1106.246,32.499,-15.415,-1992,902,-161,2192.621,-329070,178430,-569800,30657,-1086.375,-61.711,-171.053,-1549,-1095,-2158,-98.059,-205380,89880,221410,5888,swipe right
16000000,1012.043,8.078,-86.775,-57,-195,984,1004.753,-1400,-5110,5530,7658,7.29,-3.587,19.519,-138,-16,1163,-13.384,1750,-2100,5390,3299,swipe right
16000000,2731.78,59.341,148.237,8,-142,1002,1012.043,2660,-4760,42980,43324,1719.737,51.263,235.012,65,53,1197,7.29,4060,350,37450,35666,swipe right
