id,,,,,,,,,,,,,,,,,,,,,,,
10000000,1674.169,41.956,-171.16,-1106,-172,1245,1674.169,-28560,7000,54320,61768,646.367,34.892,-44.2,-1030,-71,1346,646.367,-35490,12110,43260,47752,swipe right
10000000,2972.48,71.869,44.985,1998,1997,925,2972.48,-1820,-10360,350,10524,1298.311,29.913,216.145,3104,2169,1097,1298.311,26740,-17360,-53970,-51244,swipe right
10000000,2591.91,40.564,2.448,1684,72,1969,2591.91,-391860,213850,-1205890,64725,-380.57,-31.305,-42.537,-314,-1925,-28,-380.57,-390040,224210,-1206240,54201,swipe right
10000000,1049.885,9.328,-2.694,170,-8,1036,1049.885,99890,-92540,-108640,16719,-1542.025,-31.236,-5.142,-1514,-80,964,-1542.025,491750,-306390,1097250,-48006,swipe right
11000000,1215.893,48.542,-169.503,-896,-166,805,1215.893,-7840,7070,20650,23192,160.759,44.897,-89.808,-908,-100,871,160.759,-10220,10640,20650,18902,swipe right
11000000,2794.317,60.782,144.159,-1977,1428,1364,2794.317,-44800,90650,129570,35256,1578.424,12.24,313.662,-1081,1594,1530,1578.424,-36960,83580,108920,12064,swipe right
11000000,3460.06,54.728,135.014,-1998,1997,1998,3460.06,17080,-293370,-593670,26741,665.743,-6.054,-9.145,-21,569,570,665.743,61880,-384020,-723240,-8515,swipe right
11000000,1361.37,14.332,0,337,0,1319,1361.37,22540,-220640,1428280,42658,-2098.69,-40.396,-135.014,2335,-1997,-678,-2098.69,5460,72730,2021950,15917,swipe right
12000000,1590.04,24.402,175.634,-655,50,1448,1590.04,-9940,7840,59430,60763,619.397,22.316,290.748,-640,82,1480,619.397,-11830,8400,54950,55869,swipe right
12000000,3356.092,57.322,44.985,1998,1997,1812,3356.092,-17430,11130,78610,48085,1766.052,32.92,-130.649,2653,1947,1762,1766.052,-7490,3290,19180,-12678,swipe right
12000000,2146.585,29.839,4.349,1065,81,1862,2146.585,-144480,700490,-1997520,22828,-1209.507,-27.483,-40.636,-933,-1916,-135,-1209.507,-127050,689360,-2076130,-25257,swipe right
12000000,1016.15,11.429,-151.525,-177,-96,996,1016.15,20020,-19320,38150,47217,-1130.435,-18.41,-155.874,-1242,-177,915,-1130.435,164500,-719810,2035670,24389,swipe right
13000000,966.143,7.889,-32.371,112,-71,957,966.143,3080,-840,30870,31034,-41.006,0.596,0.821,5,-1,1027,-41.006,5740,-5740,16450,15574,swipe right
13000000,2829.507,46.015,-168.927,-1998,-391,1965,2829.507,-48510,-81970,-46200,51154,1863.364,38.126,-136.556,-2110,-320,2036,1863.364,-51590,-81130,-77070,20120,swipe right
13000000,2644.835,75.638,38.757,1998,1604,656,2644.835,9100,-11480,374360,54046,-184.672,29.623,207.684,3996,1995,1047,-184.672,57610,70490,420560,2892,swipe right
13000000,1027.37,168.571,105.674,-55,196,-1007,1027.37,-185640,-95410,-66780,27932,-1617.465,92.933,66.917,-2053,-1408,-2611,-1617.465,-194740,-83930,-441140,-26114,swipe right
14000000,1747.578,33.218,166.776,-932,219,1462,1747.578,25340,7490,195020,8735,731.55,25.575,232.296,-988,342,1585,731.55,28210,14070,191030,522,swipe right
14000000,3007.496,69.931,44.985,1998,1997,1032,3007.496,-82250,84560,-253400,28593,1259.918,36.713,-121.791,2930,1778,813,1259.918,-107590,77070,-448420,19858,swipe right
14000000,2267.398,57.328,-169.066,-1874,-362,1224,2267.398,-19040,-4480,18970,27247,-740.098,-12.603,-214.051,-3872,-2359,-773,-740.098,63210,-89040,272370,-1346,swipe right
14000000,889.534,12.029,-47.185,126,-136,870,889.534,12810,-19110,-7910,24328,-1377.864,-45.299,121.881,2000,226,1232,-1377.864,31850,-14630,-26880,-2919,swipe right
15000000,1001.655,15.115,-27.349,232,-120,967,1001.655,-10290,840,20090,22587,-12.639,5.829,21.366,124,3,1090,-12.639,-9520,770,9310,11780,swipe right
15000000,2835.106,45.191,-173.376,-1998,-232,1998,2835.106,-32620,-114240,-192290,62013,1833.451,30.076,-146.027,-2230,-112,2118,1833.451,-22330,-115080,-212380,39426,swipe right
15000000,2500.981,59.269,68.267,796,1997,1278,2500.981,199780,-79030,684110,55345,-334.125,14.078,241.643,2794,2229,1510,-334.125,232400,35210,876400,-6668,swipe right
15000000,1294.269,9.094,12.133,200,43,1278,1294.269,-7490,48930,-99890,61954,-1206.712,-50.175,-56.134,-596,-1954,-719,-1206.712,-207270,127960,-784000,6609,swipe right
16000000,1008.183,10.279,-38.908,140,-113,992,1008.183,2380,-1260,20580,20755,1.479,-0.173,8.755,17,22,1127,1.479,4620,-770,17920,17244,swipe right
16000000,2611.779,51.046,169.647,-1998,365,1642,2611.779,-108290,31220,-405930,37241,1603.596,40.767,208.555,-2138,478,1755,1603.596,-110670,32480,-426510,16486,swipe right
16000000,3460.06,54.728,135.014,-1998,1997,1998,3460.06,229320,-50190,862330,64426,848.281,3.682,-34.633,0,1632,1633,848.281,337610,-81410,1268260,27185,swipe right
16000000,1610.23,49.582,11.099,1203,236,1044,1610.23,-27580,20090,-103530,57382,-1849.83,-5.146,-123.915,3201,-1761,-953,-1849.83,-256900,70280,-965860,-7044,swipe right
17000000,1003.102,7.724,-40.186,103,-87,994,1003.102,560,-2800,31430,31559,-5.334,-1.283,22.275,30,53,1134,-5.334,-1400,350,24850,24006,swipe right
17000000,2590.333,51.542,170.064,-1998,350,1611,2590.333,-86730,-47180,-368130,59445,1587.231,43.818,210.25,-2101,437,1698,1587.231,-87290,-44380,-399560,27886,swipe right
17000000,2637.812,55.475,156.832,-1998,855,1495,2637.812,130830,-75810,638260,27253,47.479,3.933,-13.232,0,505,1145,47.479,217560,-28630,1006390,-32192,swipe right
17000000,1099.666,14.632,-4.335,277,-21,1064,1099.666,-3570,-5110,-38290,38794,-1538.146,-40.843,-161.167,2275,-876,209,-1538.146,-134400,70700,-676550,11541,swipe right
18000000,988.18,24.806,11.689,406,84,897,988.18,1890,9240,55720,56512,-13.916,16.272,69.601,327,210,1023,-13.916,490,10990,45780,46323,swipe right
18000000,2100.741,71.918,90.028,-1,1997,652,2100.741,-181440,72870,-878710,53925,1112.561,47.112,78.339,-407,1913,568,1112.561,-183330,63630,-934430,-2587,swipe right
18000000,2861.675,45.801,-166.871,-1998,-466,1995,2861.675,15680,-71680,282170,58304,760.934,-26.117,-256.899,-1997,-2463,-2,760.934,197120,-144550,1160880,4379,swipe right
18000000,805.06,18.377,-37.637,201,-155,764,805.06,2310,-2240,-25480,25682,-2056.615,-27.424,129.234,2199,311,1230,-2056.615,-13370,69440,-307650,-32622,swipe right
19000000,1136.862,7.158,48.433,94,106,1128,1136.862,-700,29750,98350,44365,144.991,-2.435,105.031,3,244,1266,144.991,-2030,35140,94780,37765,swipe right
19000000,3430.295,55.437,44.985,1998,1997,1946,3430.295,-124530,131180,-716940,35468,2293.433,48.279,-3.448,1904,1891,1840,2293.433,-123830,101430,-815290,-8897,swipe right
19000000,2136.282,65.644,179.263,-1946,25,881,2136.282,-46340,3920,67340,49015,-1294.013,10.207,134.278,-3944,-1972,-1116,-1294.013,78190,-127260,784280,13547,swipe right
19000000,1136.231,19.508,-20.679,355,-134,1071,1136.231,14490,-20650,-32550,41181,-1000.051,-46.136,-199.942,2301,-159,1046,-1000.051,60830,-24570,-99890,-7834,swipe right
