id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1690.411,66.907,26.713,-44,-115,990,997.627,-1260,-2520,6020,6646,692.784,59.818,137.65,-58,-3,1102,10.155,1400,70,2940,1823,swipe right
10000000,3187.254,62.413,44.985,1389,699,663,1690.411,-85680,62230,298690,40559,1496.843,-4.494,18.272,1433,814,778,692.784,-84420,64750,292670,33913,swipe right
10000000,2306.171,62.3,-168.101,1998,1997,1476,3187.254,23870,245560,-967680,29011,-881.083,-0.113,-213.086,609,1298,777,1496.843,109550,183330,-1266370,-11548,swipe right
10000000,1029.693,9.354,-76.877,-1998,-421,1072,2306.171,4690,-50960,89950,46043,-1276.478,-52.946,91.224,-3996,-2418,-925,-881.083,-19180,-296520,1057630,17032,swipe right
11000000,1021.844,8.354,-79.522,-18,-160,996,1008.93,-910,-3640,1610,4082,12.914,-0.828,16.896,15,7,1163,0.459,-1610,630,-490,-727,swipe right
11000000,2603.203,43.86,-175.421,27,-146,1011,1021.844,350,-2730,2660,3827,1581.359,35.506,-95.899,45,14,1171,12.914,1260,910,1050,-255,swipe right
11000000,2826.917,87.83,44.985,-1798,-144,1877,2603.203,-22960,-6790,286020,27862,223.714,43.97,220.406,-1825,2,2023,1581.359,-23310,-4060,283360,24035,swipe right
11000000,1089.493,28.879,-148.363,1998,1997,107,2826.917,-119770,63070,474740,56414,-1737.424,-58.951,-193.348,3796,2141,251,223.714,-96810,69860,188720,28552,swipe right
12000000,1008.663,7.937,-119.693,-96,-116,1010,1021.162,2730,-700,4410,5233,-12.499,-0.542,9.917,-34,27,1153,34.771,3990,-1050,1680,2206,swipe right
12000000,2832.046,45.13,-174.539,-69,-121,999,1008.663,-910,-3220,8120,8782,1823.383,37.193,-54.846,27,-5,1115,-12.499,-3640,-2520,3710,3549,swipe right
12000000,2135.217,69.922,84.735,-1998,-191,1998,2832.046,-61040,-177310,336070,45594,-696.829,24.792,259.274,-1929,-70,2119,1823.383,-60130,-174090,327950,36812,swipe right
12000000,1052.922,35.705,-149.595,184,1997,733,2135.217,-9800,-63490,766570,57845,-1082.295,-34.217,-234.33,2182,2188,924,-696.829,51240,113820,430500,12251,swipe right
13000000,1026.644,11.785,-23.019,3,-121,989,996.378,-6930,-2380,18550,19944,30.266,4.808,65.56,85,25,1135,-20.504,-8960,1540,16170,14929,swipe right
13000000,2045.35,102.422,88.766,193,-82,1005,1026.644,-9100,3080,35140,36429,1018.706,90.637,111.785,190,39,1126,30.266,-2170,5460,16590,16485,swipe right
13000000,2177.653,74.853,-161.901,43,1997,-440,2045.35,-123340,92540,-952840,62988,132.303,-27.569,-250.667,-150,2079,-358,1018.706,-114240,89460,-987980,26559,swipe right
13000000,1441.606,23.102,-10.594,-1998,-653,569,2177.653,-72520,-61110,219730,37951,-736.047,-51.751,151.307,-2041,-2650,-1428,132.303,50820,-153650,1172570,-25037,swipe right
14000000,1011.421,9.687,-92.694,-46,-183,1020,1037.306,-980,210,1890,2139,-25.885,-0.793,11.415,23,3,1206,12.913,-2100,5180,2590,-3003,swipe right
14000000,1840.744,26.173,-176.045,-8,-170,997,1011.421,-2240,-2520,9590,10165,829.323,16.486,-83.351,38,13,1180,-25.885,-1260,-2730,7700,8026,swipe right
