id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1035.697,21.139,-13.626,18,-160,980,993.138,-2520,-3290,3710,5562,42.559,11.809,69.955,-28,-11,1129,-26.852,-1190,840,350,75,swipe right
10000000,3161.801,55.364,132.304,363,-88,966,1035.697,490,6020,10220,11871,2126.104,34.225,145.93,345,72,1126,42.559,3010,9310,6510,6309,swipe right
10000000,1967.898,61.698,-177.486,-1751,1924,1797,3161.801,-111230,-16940,-773220,25355,-1193.903,6.334,-309.79,-2114,2012,1885,2126.104,-111720,-22960,-783440,13484,swipe right
10000000,1154.687,3.097,-111.63,-1731,-76,933,1967.898,-23660,-18620,293300,32125,-813.211,-58.601,65.856,20,-2000,-991,-1193.903,87570,-1680,1066520,6770,swipe right
11000000,1067.528,14.612,-22.947,-72,-227,994,1022.129,4060,-8890,11200,14864,45.399,1.139,84.651,-98,38,1259,21.067,-10430,-29330,-18130,-23710,swipe right
11000000,3460.06,54.728,44.985,248,-105,1033,1067.528,17080,-23310,40250,49549,2392.532,40.116,67.932,320,122,1260,45.399,13020,-14420,29050,34685,swipe right
11000000,2086.994,63.26,-158.997,1998,1997,1998,3460.06,-62090,362110,-861420,29153,-1373.066,8.532,-203.982,1750,2102,2103,2392.532,-79170,385420,-901670,-20396,swipe right
11000000,882.179,14.777,-120.439,-1740,-668,939,2086.994,350,-31920,51450,60548,-1204.815,-48.483,38.558,-3738,-2665,-1058,-1373.066,62440,-394030,912870,31395,swipe right
12000000,1035.415,9.233,-75.712,-3,-180,1002,1018.043,-560,-3640,6300,7297,17.372,-0.952,15.242,3,-1,1181,16.893,-1050,1890,3290,982,swipe right
12000000,2829.249,47.18,164.316,41,-161,1022,1035.415,-4760,-9240,210,10396,1793.834,37.947,240.028,44,19,1202,17.372,-4200,-5600,-6090,3099,swipe right
12000000,3251.103,52.08,141.172,-1998,561,1923,2829.249,-101570,-339850,479150,56673,421.854,4.9,-23.144,-2039,722,2084,1793.834,-96810,-330610,478940,46277,swipe right
12000000,1462.018,39.446,-163.359,-1998,1608,1998,3251.103,87430,-58730,1053430,64159,-1789.085,-12.634,-304.531,0,1047,1437,421.854,189000,281120,574280,7486,swipe right
13000000,989.428,7.025,-100.474,-33,-143,1012,1022.585,10640,-3500,10570,15400,-33.157,-1.226,2.52,-54,25,1180,-16.303,-770,-23590,-9170,-14988,swipe right
13000000,2286.606,49.336,-169.972,-22,-119,982,989.428,-3010,-1960,13930,14385,1297.178,42.311,-69.498,11,24,1125,-33.157,-13650,1540,3360,-1015,swipe right
13000000,2342.523,60.879,77.383,-1708,-302,1490,2286.606,-43610,49630,138740,46248,55.917,11.543,247.355,-1686,-183,1609,1297.178,-40600,51590,124810,31863,swipe right
13000000,697.143,26.847,-133.069,447,1997,1140,2342.523,109340,-11900,1094450,55062,-1645.38,-34.032,-210.452,2155,2299,1442,55.917,152950,-61530,955710,8814,swipe right
14000000,1114.991,13.319,-13.278,0,-165,998,1011.547,490,-5530,7700,9492,103.444,3.932,76.722,16,0,1163,6.778,-910,2240,2240,-107,swipe right
14000000,2015.573,88.521,82.356,250,-59,1085,1114.991,-3290,-1750,46760,46908,900.582,75.202,95.634,250,106,1250,103.444,-3780,3780,39060,37416,swipe right
14000000,2061.084,95.149,166.735,268,1997,52,2015.573,-217560,10710,-929110,12624,45.511,6.628,84.379,18,2056,111,900.582,-214270,12460,-975870,-34284,swipe right
14000000,1031.997,14.078,-44.515,-1998,471,-185,2061.084,-200830,160370,-439950,43694,-1029.087,-81.071,-211.25,-2266,-1526,-2182,45.511,16730,149660,489160,31070,swipe right
15000000,949.329,34.432,-3.096,20,-195,994,1013.144,-2170,-2240,3430,4635,-63.815,23.277,81.047,-34,-6,1183,5.781,-490,420,3010,1461,swipe right
15000000,3391.628,56.397,44.985,536,-29,783,949.329,-17290,31850,119770,52662,2442.299,21.965,48.081,516,166,978,-63.815,-15120,34090,116340,48027,swipe right
15000000,1046.787,18.789,-30.672,1998,1997,1877,3391.628,-380940,323610,-1077160,36920,-2344.841,-37.608,-75.657,1462,2026,1906,2442.299,-363650,291760,-1196930,-15742,swipe right
15000000,850.819,14.151,-89.449,290,-172,991,1046.787,120960,-24990,-336490,62668,-195.968,-4.638,-58.777,-1708,-2169,-1006,-2344.841,501900,-348600,740670,25748,swipe right
16000000,1038.264,10.762,-57.211,37,-180,975,992.166,-3150,-2660,3360,5318,46.098,0.089,21.173,23,8,1163,-12.676,-210,1190,1050,-48,swipe right
16000000,2848.439,45.457,169.786,105,-163,1020,1038.264,-1120,-6160,2380,6698,1810.175,34.695,226.997,68,17,1200,46.098,2030,-3500,-980,1380,swipe right
16000000,3460.06,54.728,135.014,-1998,360,1998,2848.439,-279580,-25900,-483350,56792,611.621,9.271,-34.772,-2103,523,2161,1810.175,-278460,-19740,-485730,50094,swipe right
16000000,1692.301,4.946,-124.67,-1998,1997,1998,3460.06,248850,-232820,1425480,25319,-1767.759,-49.782,-259.684,0,1637,1638,611.621,528430,-206920,1908830,-31473,swipe right
17000000,1041.914,10.338,-64.668,103,-177,975,996.274,-2240,-1680,3780,4704,45.64,-1.523,-4.865,9,11,1163,-11.88,-3010,1260,2590,1441,swipe right
17000000,2889.638,74.997,45.682,80,-169,1025,1041.914,-4760,-2590,12320,13459,1847.724,64.659,110.35,-23,8,1202,45.64,-2520,-910,8540,8755,swipe right
17000000,1817.604,88.202,175.073,1950,1997,748,2889.638,-93940,325430,-1276800,34509,-1072.034,13.205,129.391,1870,2166,917,1847.724,-89180,328020,-1289120,21050,swipe right
17000000,760.576,20.155,-38.181,-1810,156,57,1817.604,46060,-47880,-331450,51029,-1057.028,-68.047,-213.254,-3760,-1841,-1940,-1072.034,140000,-373310,945350,16520,swipe right
18000000,1053.019,15.443,-26.473,-41,-183,1012,1029.229,-5810,-6020,5180,9840,23.79,4.945,76.155,-164,-27,1168,15.572,-4340,-2310,4690,5820,swipe right
18000000,2293.609,52.602,-169.917,251,-125,1015,1053.019,-2870,-4130,10850,11958,1240.59,37.159,-143.444,292,58,1198,23.79,2940,1890,5670,2118,swipe right
18000000,3100.531,114.342,44.985,-1794,-319,1393,2293.609,-49910,16590,-104160,27030,806.922,61.74,214.902,-2045,-194,1518,1240.59,-47040,20720,-115010,15072,swipe right
18000000,511.579,50.122,-150.888,1998,1997,-1278,3100.531,69440,-155260,799190,43729,-2588.952,-64.22,-195.873,3792,2316,-959,806.922,119350,-171850,903350,16699,swipe right
19000000,1066.383,18.205,-26.565,113,-194,985,1010.262,-3780,-280,3640,5255,56.121,5.365,33.215,52,-8,1171,-21.477,-3010,3500,-2730,-2192,swipe right
19000000,2022.873,90.509,99.159,298,-149,1013,1066.383,-8260,-7980,51450,52716,956.49,72.304,125.724,185,45,1207,56.121,-4480,-7700,47810,47461,swipe right
19000000,2145.209,91.041,158.674,-322,1997,-18,2022.873,-269220,147980,-926100,53394,122.336,0.532,59.515,-620,2146,131,956.49,-260960,155960,-977550,678,swipe right
19000000,891.097,13.63,-32.554,-1998,780,-39,2145.209,-327040,136990,-481180,27808,-1254.112,-77.411,-191.228,-1676,-1217,-2036,122.336,-57820,-10990,444920,-25586,swipe right
