id,r,theta,phi,acc_x,acc_y,acc_z,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,label
65,1010.197,8.148,-48.964,94.0,-108.0,1000.0,35.27999999999997,-1.545,-1.990000000000002,-18.0,12.0,12.0,
66,1009.796,8.386,-51.34,92.0,-115.0,999.0,-0.4009999999999536,0.23799999999999955,-2.3760000000000048,-2.0,-7.0,-7.0,
67,1007.064,8.877,-52.319,95.0,-123.0,995.0,-2.7320000000000846,0.49100000000000144,-0.9789999999999992,3.0,-8.0,-8.0,
68,949.691,11.076,-45.888,127.0,-131.0,932.0,-57.372999999999934,2.199,6.4310000000000045,32.0,-8.0,-8.0,
69,1073.773,9.186,-28.957,150.0,-83.0,1060.0,124.08199999999988,-1.8900000000000006,16.930999999999997,23.0,48.0,48.0,
70,1030.274,6.326,-107.956,-35.0,-108.0,1024.0,-43.499000000000024,-2.8600000000000003,-78.999,-185.0,-25.0,-25.0,
71,1012.99,12.753,-157.104,-206.0,-87.0,988.0,-17.283999999999878,6.4270000000000005,-49.14800000000001,-171.0,21.0,21.0,
72,1001.817,17.585,-169.915,-298.0,-53.0,955.0,-11.173000000000002,4.832000000000001,-12.810999999999979,-92.0,34.0,34.0,
73,1013.286,21.619,-177.543,-373.0,-16.0,942.0,11.468999999999937,4.033999999999999,-7.628000000000014,-75.0,37.0,37.0,
74,1045.824,23.235,176.943,-412.0,22.0,961.0,32.538000000000125,1.6159999999999997,354.486,-39.0,38.0,38.0,
75,1203.373,19.972,179.303,-411.0,5.0,1131.0,157.54899999999998,-3.262999999999998,2.359999999999985,1.0,-17.0,-17.0,
76,1786.302,5.526,0.999,172.0,-3.0,1778.0,582.9289999999999,-14.446000000000002,-178.304,583.0,-8.0,-8.0,right click
77,1105.516,163.32,-34.341,262.0,-179.0,-1059.0,-680.7859999999998,157.79399999999998,-35.34,90.0,-176.0,-176.0,
78,964.401,133.594,-23.812,639.0,-282.0,-665.0,-141.11500000000012,-29.726,10.529,377.0,-103.0,-103.0,move right
79,1310.191,31.593,-36.886,549.0,-412.0,1116.0,345.7900000000001,-102.00099999999999,-13.074000000000002,-90.0,-130.0,-130.0,right click
80,1290.644,14.056,-77.471,68.0,-306.0,1252.0,-19.547000000000025,-17.537,-40.585,-481.0,106.0,106.0,
81,1066.709,10.746,-71.838,62.0,-189.0,1048.0,-223.93499999999995,-3.3099999999999987,5.63300000000001,-6.0,117.0,117.0,
82,943.403,7.182,-97.305,-15.0,-117.0,936.0,-123.30600000000004,-3.564,-25.467000000000013,-77.0,72.0,72.0,
83,984.027,8.186,-137.313,-103.0,-95.0,974.0,40.624000000000024,1.0039999999999996,-40.00799999999998,-88.0,22.0,22.0,
84,1078.476,7.188,-129.588,-86.0,-104.0,1070.0,94.44900000000007,-0.9980000000000002,7.724999999999994,17.0,-9.0,-9.0,
85,1022.076,11.655,-68.404,76.0,-192.0,1001.0,-56.40000000000009,4.467,61.184,162.0,-88.0,-88.0,
86,1013.187,8.522,-41.76,112.0,-100.0,1002.0,-8.88900000000001,-3.132999999999999,26.644,36.0,92.0,92.0,
87,1033.424,11.126,-33.132,167.0,-109.0,1014.0,20.236999999999966,2.603999999999999,8.628,55.0,-9.0,-9.0,
88,981.366,13.055,-35.267,181.0,-128.0,956.0,-52.05799999999999,1.9290000000000003,-2.135000000000005,14.0,-19.0,-19.0,
89,1010.619,15.04,-28.715,230.0,-126.0,976.0,29.253000000000043,1.9849999999999994,6.552000000000003,49.0,2.0,2.0,
90,1006.751,16.357,-26.836,253.0,-128.0,966.0,-3.868000000000052,1.3170000000000002,1.8790000000000013,23.0,-2.0,-2.0,
91,1005.57,17.122,-26.911,264.0,-134.0,961.0,-1.1809999999999263,0.7650000000000006,-0.07500000000000284,11.0,-6.0,-6.0,
92,1008.036,16.604,-27.721,255.0,-134.0,966.0,2.4659999999998945,-0.5180000000000007,-0.8099999999999987,-9.0,0.0,0.0,
93,997.587,16.195,-27.854,246.0,-130.0,958.0,-10.448999999999955,-0.4089999999999989,-0.13299999999999912,-9.0,4.0,4.0,
94,1000.569,16.573,-30.068,247.0,-143.0,959.0,2.981999999999971,0.3780000000000001,-2.214000000000002,1.0,-13.0,-13.0,
95,1011.687,16.101,-30.403,242.0,-142.0,972.0,11.118000000000052,-0.4720000000000013,-0.3349999999999973,-5.0,1.0,1.0,
96,1006.127,16.236,-29.845,244.0,-140.0,966.0,-5.560000000000059,0.13500000000000156,0.5579999999999998,2.0,2.0,2.0,
97,1005.382,16.496,-28.45,251.0,-136.0,964.0,-0.7450000000000045,0.259999999999998,1.3949999999999996,7.0,4.0,4.0,
98,1008.624,16.517,-28.084,253.0,-135.0,967.0,3.2420000000000755,0.021000000000000796,0.36599999999999966,2.0,1.0,1.0,
99,1009.715,16.921,-27.785,260.0,-137.0,966.0,1.0910000000000082,0.4039999999999999,0.2989999999999995,7.0,-2.0,-2.0,
100,1006.745,17.528,-26.649,271.0,-136.0,960.0,-2.9700000000000273,0.6069999999999993,1.1359999999999992,11.0,1.0,1.0,
101,1011.382,17.419,-26.903,270.0,-137.0,965.0,4.636999999999944,-0.10899999999999821,-0.2539999999999978,-1.0,-1.0,-1.0,
102,1007.04,17.392,-27.501,267.0,-139.0,961.0,-4.3419999999999845,-0.027000000000001023,-0.5980000000000025,-3.0,-2.0,-2.0,
103,1010.749,17.304,-28.184,265.0,-142.0,965.0,3.70900000000006,-0.08800000000000097,-0.6829999999999998,-2.0,-3.0,-3.0,
104,1012.088,16.973,-29.167,258.0,-144.0,968.0,1.3389999999999418,-0.3309999999999995,-0.9830000000000005,-7.0,-2.0,-2.0,
105,1007.538,17.099,-28.641,260.0,-142.0,963.0,-4.5499999999999545,0.12600000000000122,0.5260000000000034,2.0,2.0,2.0,
