 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
29,13000000,1063.065,9.657,176.463,-178,11,1048,1063.065,31080,6300,-14560,34894,-1584.151,-70.599,126.519,-1857,-1986,-949,-1584.151,-113470,-17710,-761600,-28464,swipe right
34,14000000,969.342,3.015,-48.179,34,-38,968,969.342,-2100,2380,19250,19509,-54.014,-0.873,78.03,75,18,1024,-54.014,-980,5110,17360,16005,swipe right
35,14000000,2831.979,45.128,-174.567,-1998,-190,1998,2831.979,-43680,-71400,-138810,22456,1862.637,42.113,-126.388,-2032,-152,2036,1862.637,-41580,-73780,-158060,2947,swipe right
36,14000000,2833.367,85.567,44.985,1998,1997,219,2833.367,101710,42210,705110,50005,1.388,40.439,219.552,3996,2187,409,1.388,145390,113610,843920,27549,swipe right
37,14000000,875.002,14.003,20.746,198,75,849,875.002,-12390,11270,-107100,56222,-1958.365,-71.564,-24.239,-1800,-1922,-1148,-1958.365,-114100,-30940,-812210,6217,swipe right
42,15000000,984.137,2.754,-103.448,-11,-46,983,984.137,1120,1050,15470,15545,-13.623,-0.649,8.353,11,9,1038,-13.623,350,3920,10500,9755,swipe right
43,15000000,2416.521,47.066,179.028,-1769,30,1646,2416.521,17430,-9590,183960,64593,1432.384,44.312,282.476,-1758,76,1692,1432.384,16310,-10640,168490,49048,swipe right
44,15000000,2829.14,93.14,44.985,1998,1997,-155,2829.14,43960,-12950,325010,18907,412.619,46.074,-134.043,3767,1967,-185,412.619,26530,-3360,141050,-45686,swipe right
45,15000000,1504.757,50.111,-168.154,-1130,-237,965,1504.757,700,-24080,-41300,47812,-1324.383,-43.029,-213.139,-3128,-2234,-1032,-1324.383,-43260,-11130,-366310,28905,swipe right
50,16000000,993.415,3.058,-88.919,1,-53,992,993.415,-1120,1890,13020,13204,-23.184,-0.156,2.086,2,4,1049,-23.184,-1680,5670,8190,7046,swipe right
51,16000000,2383.671,57.834,-171.966,-1998,-282,1269,2383.671,-79310,-20930,113120,48419,1390.256,54.776,-83.047,-1999,-229,1322,1390.256,-78190,-22820,100100,35215,swipe right
52,16000000,2246.336,78.079,65.312,918,1997,464,2246.336,174650,-42280,875910,25389,-137.335,20.245,237.278,2916,2279,746,-137.335,253960,-21350,762790,-23030,swipe right
53,16000000,988.824,6.735,-150.561,-101,-57,982,988.824,-7000,-11060,-56140,57645,-1257.512,-71.344,-215.873,-1019,-2054,-1015,-1257.512,-181650,31220,-932050,32256,swipe right
58,17000000,958.138,2.793,-46.735,32,-34,957,958.138,6160,3780,25060,26081,-47.965,-2.98,13.66,-18,54,1045,-47.965,3640,3360,20510,20863,swipe right
59,17000000,2303.05,59.033,142.323,-1563,1207,1185,2303.05,-117110,-59010,-599200,50748,1344.912,56.24,189.058,-1595,1241,1219,1344.912,-123270,-62790,-624260,24667,swipe right
60,17000000,3268.555,52.317,140.568,-1998,1643,1998,3268.555,248010,36540,1023330,44123,965.505,-6.716,-1.755,-435,436,791,965.505,365120,95550,1622530,-6625,swipe right
61,17000000,1045.412,4.63,-126.326,-50,-68,1042,1045.412,16030,21140,-9730,28258,-2223.143,-47.687,-266.894,1948,-1711,-601,-2223.143,-231980,-15400,-1033060,-15865,swipe right
66,18000000,1092.028,8.859,117.631,-78,149,1079,1092.028,-9170,38710,128450,30034,69.834,6.09,239.39,-52,191,1121,69.834,-13790,38290,119560,20007,swipe right
67,18000000,3460.06,54.728,44.985,1998,1997,1998,3460.06,-41440,329980,-1246980,58402,2368.032,45.869,-72.646,2076,1848,1849,2368.032,-32270,291270,-1375430,28368,swipe right
68,18000000,1534.533,35.646,-169.041,-878,-170,1247,1534.533,13790,-57750,-97020,7294,-1925.527,-19.082,-214.026,-2876,-2167,-750,-1925.527,55230,-387730,1149960,-51108,swipe right
69,18000000,904.506,13.905,-12.757,212,-48,878,904.506,-10290,13370,-2450,17048,-630.027,-21.741,156.284,1090,122,1048,-630.027,-24080,71120,94570,9754,swipe right
74,19000000,1000.318,3.901,-92.526,-3,-68,998,1000.318,4970,7770,28700,30145,10.69,-1.642,13.254,23,24,1090,10.69,7000,10220,19950,20835,swipe right
75,19000000,2509.58,55.04,166.274,-1998,488,1438,2509.58,-52220,20580,-362530,37874,1509.262,51.139,258.8,-1995,556,1506,1509.262,-57190,12810,-391230,7729,swipe right
76,19000000,2745.092,55.14,117.554,-1042,1997,1569,2745.092,242130,-25410,1000090,53764,235.512,0.1,-48.72,956,1509,1081,235.512,294350,-45990,1362620,15890,swipe right
77,19000000,1145.275,4.334,-139.685,-66,-56,1142,1145.275,14560,11340,10850,21408,-1599.817,-50.806,-257.239,976,-2053,-855,-1599.817,-227570,36750,-989240,-32356,swipe right
