 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1066.319,12.51,-114.012,-94,-211,1041,1066.319,-6020,-6090,9240,12597,47.458,3.397,-27.921,-105,-50,1202,47.458,-6370,-840,490,2387,swipe right
2,10000000,2064.723,50.762,-177.778,-1598,-62,1306,2064.723,-11690,-29330,273910,54855,998.404,38.252,-63.766,-1504,149,1517,998.404,-5670,-23240,264670,42258,swipe right
3,10000000,3374.023,56.85,44.985,1998,1997,1845,3374.023,-257390,-126980,-1031380,60472,1309.3,6.088,222.763,3596,2059,1907,1309.3,-245700,-97650,-1305290,5617,swipe right
4,10000000,1214.315,20.823,-128.887,-271,-336,1135,1214.315,12810,-11760,-191520,51210,-2159.708,-36.027,-173.872,-2269,-2333,-862,-2159.708,270200,115220,839860,-9262,swipe right
10,11000000,1042.631,9.275,-51.766,104,-132,1029,1042.631,700,-4410,31080,31399,-2.891,0.051,23.368,61,30,1191,-2.891,700,-1890,23800,23696,swipe right
11,11000000,2697.344,55.674,153.757,-1998,985,1521,2697.344,-47880,33950,-528780,62293,1654.713,46.399,205.523,-2102,1117,1653,1654.713,-48580,38360,-559860,30894,swipe right
12,11000000,2815.277,89.206,45.187,1984,1997,39,2815.277,431550,-350,1036350,42795,117.933,33.532,-108.57,3982,1012,-946,117.933,479430,-34300,1565130,-19498,swipe right
13,11000000,1363.095,45.7,-161.472,-925,-310,952,1363.095,-8750,22540,52570,57863,-1452.182,-43.506,-206.659,-2909,-2307,-1045,-1452.182,-440300,22890,-983780,15068,swipe right
18,12000000,1014.128,8.104,-101.702,-29,-140,1004,1014.128,-1470,-2660,13090,13438,-15.459,-1.552,5.473,22,25,1169,-15.459,-490,1750,4340,3591,swipe right
19,12000000,2439.136,55.229,-175.706,-1998,-150,1391,2439.136,-15190,-3080,-159250,64233,1425.008,47.125,-74.004,-1969,-10,1531,1425.008,-13720,-420,-172340,50795,swipe right
20,12000000,3098.474,114.258,44.985,1998,1997,-1273,3098.474,53900,-71190,1023750,61402,659.338,59.029,220.691,3996,2147,-1123,659.338,69090,-68110,1183000,-2831,swipe right
21,12000000,976.844,31.934,-146.125,-429,-288,829,976.844,-22260,44450,-420,49714,-2121.63,-82.324,-191.11,-2427,-2285,-1168,-2121.63,-76160,115640,-1024170,-11688,swipe right
26,13000000,1020.761,3.366,-152.152,-53,-28,1019,1020.761,3850,1190,5810,7070,21.903,0.991,-9.299,-20,-3,1044,21.903,5530,0,-2590,-1578,swipe right
27,13000000,2311.925,59.884,-177.535,-1998,-86,1160,2311.925,-79870,-113890,-181440,27037,1291.164,56.518,-25.383,-1945,-58,1188,1291.164,-83720,-115080,-187250,19967,swipe right
28,13000000,2647.216,80.256,49.944,1679,1997,448,2647.216,144550,24010,747040,63358,335.291,20.372,227.479,3677,2083,534,335.291,224420,137900,928480,36321,swipe right
