 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,993.867,7.214,52.487,76,99,986,993.867,-8330,-350,25060,26410,-49.23,1.548,142.487,76,202,1089,-49.23,-7700,3150,22050,21751,swipe right
2,10000000,2628.58,49.846,83.713,220,1997,1695,2628.58,-30310,37100,137200,62762,1634.713,42.632,31.226,144,1898,1596,1634.713,-21980,37450,112140,36352,swipe right
3,10000000,1571.427,77.84,179.142,-1536,23,331,1571.427,92750,136570,-1154720,58502,-1057.153,27.994,95.429,-1756,-1974,-1666,-1057.153,123060,99470,-1291920,-4260,swipe right
4,10000000,1049.057,21.657,4.444,386,30,975,1049.057,172060,-160860,-355250,35979,-522.37,-56.183,-174.698,1922,7,952,-522.37,79310,-297430,799470,-22523,swipe right
10,11000000,1036.105,5.69,-121.059,-53,-88,1031,1036.105,-280,-4200,3220,5299,46.499,-0.411,-2.058,-2,4,1123,46.499,140,70,630,288,swipe right
11,11000000,2623.739,64.222,147.742,-1998,1261,1141,2623.739,-2170,-4060,7980,9212,1587.634,58.532,268.801,-1945,1349,1229,1587.634,-1890,140,4760,3913,swipe right
12,11000000,3082.504,49.595,148.341,-1998,1232,1998,3082.504,-129220,-47040,-727230,48095,458.765,-14.627,0.599,0,-29,737,458.765,-127050,-42980,-735210,38883,swipe right
13,11000000,1331.099,21.904,11.853,486,102,1235,1331.099,58170,-118160,1134560,56540,-1751.405,-27.691,-136.488,2484,-1130,3,-1751.405,187390,-71120,1861790,8445,swipe right
18,12000000,1169.723,32.182,179.54,-623,5,990,1169.723,2660,-3780,25340,25758,152.79,27.141,237.806,-670,81,1066,152.79,4760,2660,17500,15398,swipe right
19,12000000,3154.215,52.09,53.364,1485,1997,1938,3154.215,-10220,99260,133420,44587,1984.492,19.908,-126.176,2108,1992,1933,1984.492,-12880,103040,108080,18829,swipe right
20,12000000,1306.873,111.784,144.017,-982,713,-485,1306.873,32410,455280,-1710380,51950,-1847.342,59.694,90.653,-2467,-1284,-2482,-1847.342,42630,356020,-1843800,7363,swipe right
21,12000000,974.435,6.588,-116.565,-50,-100,968,974.435,-3500,-4480,9520,11088,-63.879,-3.89,19.507,86,31,1099,-63.879,-2520,-980,7490,6925,swipe right
26,13000000,2273.625,61.496,179.655,-1998,12,1085,2273.625,-18760,21350,67970,33655,1299.19,54.908,296.22,-1948,112,1185,1299.19,-15260,25830,58450,22567,swipe right
27,13000000,2363.383,96.755,121.692,-1233,1997,-278,2363.383,-33740,-9170,-186620,41106,89.758,35.259,-57.963,765,1985,-290,89.758,-14980,-30520,-254590,7451,swipe right
28,13000000,1378.597,8.626,-140.691,-160,-131,1363,1378.597,-90510,-536410,2058000,10062,-984.786,-88.129,-262.383,1073,-2128,-634,-984.786,-56770,-527240,2244620,-31044,swipe right
29,13000000,1076.118,2.612,-110.282,-17,-46,1075,1076.118,-1610,-4690,3780,6235,63.498,-1.51,0.642,9,22,1143,63.498,0,-1470,3850,2635,swipe right
34,14000000,2358.241,52.15,-171.569,-1842,-273,1447,2358.241,-5180,3710,38220,38747,1282.123,49.538,-61.287,-1825,-227,1493,1282.123,-3570,8400,34440,32512,swipe right
35,14000000,3238.194,60.734,44.985,1998,1997,1583,3238.194,-25410,49280,170030,43813,879.953,8.584,216.554,3840,2270,1856,879.953,-20230,45570,131810,5066,swipe right
36,14000000,1220.307,31.989,12.961,630,145,1035,1220.307,-527660,209510,817040,45071,-2017.887,-28.745,-32.024,-1368,-1852,-962,-2017.887,-502250,160230,647010,1258,swipe right
37,14000000,1000.292,12.653,-178.169,-219,-7,976,1000.292,-910,1820,20790,20889,-38.895,6.398,-126.355,-289,82,1065,-38.895,-560,5250,16310,15236,swipe right
42,15000000,2331.325,76.96,151.606,-1998,1080,526,2331.325,-13230,46900,125160,29322,1331.033,64.307,329.775,-1779,1087,533,1331.033,-12320,45080,104370,8433,swipe right
43,15000000,2867.416,80.12,135.014,-1998,1997,492,2867.416,-46060,43400,-510440,50607,536.091,3.16,-16.592,0,917,-588,536.091,-32830,-3500,-635600,21285,swipe right
44,15000000,1397.739,37.358,-166.012,-823,-205,1111,1397.739,74270,-310030,1589560,64114,-1469.677,-42.762,-301.026,1175,-2202,-886,-1469.677,120330,-353430,2100000,13507,swipe right
45,15000000,1037.882,8.678,-16.699,150,-45,1026,1037.882,490,-2520,18130,18310,55.126,1.956,97.415,197,60,1131,55.126,-1050,210,17570,15126,swipe right
50,16000000,2476.682,54.818,-170.761,-1998,-325,1427,2476.682,5390,-5320,61250,61716,1438.8,46.14,-154.062,-2148,-280,1472,1438.8,4900,-2800,43120,43406,swipe right
51,16000000,3427.461,55.506,44.985,1998,1997,1941,3427.461,-81130,55160,42420,53237,950.779,0.688,215.746,3996,2322,2266,950.779,-86520,60480,-18830,-8479,swipe right
52,16000000,984.928,12.918,-171.906,-218,-31,960,984.928,-458570,530880,-330610,11294,-2442.533,-42.588,-216.891,-2216,-2028,-1037,-2442.533,-377440,475720,-373030,-41943,swipe right
53,16000000,1553.023,42.772,-174.067,-1049,-109,1140,1553.023,7560,7350,39340,40728,549.111,38.407,-90.077,-1057,-33,1216,549.111,11550,3430,22610,23088,swipe right
58,17000000,2530.398,59.217,66.725,859,1997,1295,2530.398,-16380,6580,92120,14413,977.375,16.445,240.792,1908,2106,1404,977.375,-23940,-770,52780,-26315,swipe right
59,17000000,2535.231,65.035,150.378,-1998,1136,1070,2535.231,-81130,-15960,-832650,7946,4.833,5.818,83.653,-2857,-861,-927,4.833,-64750,-22540,-924770,-6467,swipe right
60,17000000,970.715,11.269,-114.943,-80,-172,952,970.715,-475160,-207130,698110,11099,-1564.516,-53.766,-265.321,1918,-1308,-184,-1564.516,-394030,-191170,1530760,3153,swipe right
61,17000000,1432.421,37.131,-175.489,-862,-68,1142,1432.421,-560,10290,39340,40667,408.576,31.555,-124.779,-925,9,1219,408.576,560,14210,35140,34814,swipe right
66,18000000,3046.117,51.385,57.037,1295,1997,1901,3046.117,-24150,-2170,112000,15717,1613.696,14.254,232.526,2157,2065,1969,1613.696,-23590,-12460,72660,-24950,swipe right
67,18000000,2764.197,45.163,9.721,1932,331,1949,2764.197,-250810,107940,-1180970,19183,-281.92,-6.222,-47.316,637,-1666,-48,-281.92,-226660,110110,-1292970,3466,swipe right
