 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1004.099,7.282,-98.13,-18,-126,996,1004.099,420,-3430,3080,4629,-5.103,-0.461,10.304,25,3,1125,-5.103,4480,490,3080,-1014,swipe right
2,10000000,2157.751,76.519,162.212,-1998,641,503,2157.751,-99470,-44800,-344400,40788,1153.652,69.237,260.342,-1980,767,629,1153.652,-99890,-41370,-347480,36159,swipe right
3,10000000,2956.121,72.863,44.985,1998,1997,871,2956.121,145810,-148330,888230,57325,798.37,-3.656,-117.227,3996,1356,230,798.37,245280,-103530,1232630,16537,swipe right
4,10000000,1160.159,2.561,-39.522,40,-33,1159,1160.159,12530,32900,-35070,49692,-1795.962,-70.302,-84.507,-1958,-2030,-838,-1795.962,-133280,181230,-923300,-7633,swipe right
10,11000000,1005.36,11.262,-25.651,177,-85,986,1005.36,2030,-5320,13440,14596,-3.17,2.221,84.27,231,64,1135,-3.17,350,1470,10080,6837,swipe right
11,11000000,2911.708,62.975,140.381,-1998,1654,1323,2911.708,-189000,117040,-606690,29669,1906.348,51.713,166.032,-2175,1739,1408,1906.348,-191030,122360,-620130,15073,swipe right
12,11000000,3122.538,50.218,146.369,-1998,1329,1998,3122.538,248640,-218470,919940,48557,210.83,-12.757,5.988,0,-325,344,210.83,437640,-335510,1526630,18888,swipe right
13,11000000,1119.804,4.056,-46.023,55,-57,1117,1119.804,-5390,39760,-13860,42450,-2002.734,-46.162,-192.392,2053,-1386,-212,-2002.734,-254030,258230,-933800,-6107,swipe right
18,12000000,1020.186,3.751,-81.384,10,-66,1018,1020.186,8400,-15120,44310,47566,-8.219,-4.79,26.932,58,79,1163,-8.219,7490,-8960,40880,40457,swipe right
19,12000000,3181.254,62.62,44.985,1998,1997,1463,3181.254,-137970,158760,-1009610,51921,2161.068,58.869,126.369,1988,2063,1529,2161.068,-146370,173880,-1053920,4355,swipe right
20,12000000,2527.829,40.575,179.024,-1644,28,1920,2527.829,-350,80780,-172760,44853,-653.425,-22.045,134.039,-3642,-1969,-77,-653.425,137620,-77980,836850,-7068,swipe right
21,12000000,1112.038,10.893,-47.121,143,-154,1092,1112.038,-12110,26180,-45570,53932,-1415.791,-29.682,-226.145,1787,-182,1064,-1415.791,-11760,-54600,127190,9079,swipe right
26,13000000,1001.161,7.757,-92.544,-6,-135,992,1001.161,-2730,630,-4830,5583,3.61,-0.178,-8.379,-20,2,1129,3.61,-770,4340,-5460,1341,swipe right
27,13000000,2435.419,57.375,-166.925,-1998,-464,1313,2435.419,6790,-73290,218680,41217,1434.258,49.618,-74.381,-1992,-329,1448,1434.258,9520,-73920,223510,35634,swipe right
28,13000000,2826.422,88.114,44.985,1998,1997,93,2826.422,-55790,-54180,345940,34182,391.003,30.739,211.91,3996,2461,557,391.003,-62580,19110,127260,-7035,swipe right
29,13000000,1879.964,72.414,-166.149,-1740,-429,568,1879.964,-16310,-32760,-42490,56077,-946.458,-15.7,-211.134,-3738,-2426,-1429,-946.458,39480,21420,-388430,21895,swipe right
34,14000000,1070.952,6.986,-102.862,-29,-127,1063,1070.952,-1540,-3850,25060,25400,68.932,-2.26,12.907,41,18,1208,68.932,-1260,2030,22470,18969,swipe right
35,14000000,2974.294,50.721,150.205,-1998,1144,1883,2974.294,-138040,112980,-562940,28785,1903.342,43.735,253.067,-1969,1271,2010,1903.342,-136500,116830,-588000,3385,swipe right
36,14000000,2830.758,52.148,116.691,-1004,1997,1737,2830.758,326270,-86870,1274350,52911,-143.536,1.427,-33.514,994,853,593,-143.536,464310,-199850,1837290,24126,swipe right
37,14000000,1087.681,15.524,-6.905,289,-35,1048,1087.681,11620,28280,-4550,30910,-1743.077,-36.624,-123.596,1293,-2032,-949,-1743.077,-314650,115150,-1278900,-22001,swipe right
42,15000000,1093.894,19.047,-151.927,-315,-168,1034,1093.894,15120,-35210,37100,53336,92.377,9.623,-68.229,-333,-5,1197,92.377,14560,-32130,34580,49318,swipe right
43,15000000,3260.815,60.008,135,-1997,1997,1630,3260.815,-119700,95270,-817390,6414,2166.921,40.961,286.927,-1682,2165,1798,2166.921,-134820,130480,-854490,-46922,swipe right
44,15000000,2092.271,75.835,79.864,357,1997,512,2092.271,233800,-124110,760410,63592,-1168.544,15.827,-55.136,2354,0,-1485,-1168.544,353500,-219380,1577800,57178,swipe right
45,15000000,1222.852,11.571,-122.005,-130,-208,1198,1222.852,-27930,43050,32690,60844,-869.419,-64.264,-201.869,-487,-2205,-799,-869.419,-261730,167160,-727720,-2748,swipe right
50,16000000,1029.455,8.921,-79.534,29,-157,1017,1029.455,-3640,1680,4340,5908,15.631,0.162,6.38,18,-3,1171,15.631,70,4970,-1610,-1837,swipe right
51,16000000,2071.064,50.225,-170.963,-1572,-250,1325,2071.064,-19530,-6720,200830,45875,1041.609,41.304,-91.429,-1601,-93,1482,1041.609,-15890,-8400,196490,39967,swipe right
52,16000000,2874.364,100.645,44.985,1998,1997,-531,2874.364,-375060,-202790,-574070,15781,803.3,50.42,215.948,3570,2247,-281,803.3,-355530,-196070,-774900,-30094,swipe right
53,16000000,1834.236,55.95,-166.375,-1477,-358,1027,1834.236,39410,-3850,-66920,41848,-1040.128,-44.695,-211.36,-3475,-2355,-970,-1040.128,414470,198940,507150,26067,swipe right
58,17000000,832.358,10.657,-56.929,84,-129,818,832.358,-15610,15680,-21280,30698,-1001.878,-45.293,109.446,1561,229,1176,-1001.878,-55020,19530,45640,-11150,swipe right
59,17000000,1092.222,9.256,-21.014,164,-63,1078,1092.222,-1540,-9870,101220,41896,107.384,-0.36,101.323,252,76,1217,107.384,6860,-6580,93030,29712,swipe right
60,17000000,2135.039,69.29,89.454,19,1997,755,2135.039,-194180,130550,-737240,35658,1042.817,60.034,110.468,-145,2060,818,1042.817,-192640,140420,-838460,-6238,swipe right
61,17000000,3067.514,49.357,149.137,-1998,1194,1998,3067.514,259210,-105560,1079330,45171,932.475,-19.933,59.683,-2017,-803,1,932.475,453390,-236110,1816570,9513,swipe right
66,18000000,936.708,18.749,-156.926,-277,-118,887,936.708,-17710,19600,10500,28426,-2130.806,-30.608,-306.063,1721,-1312,-307,-2130.806,-276920,125160,-1068830,-16745,swipe right
67,18000000,1017.677,7.907,-68.198,52,-130,1008,1017.677,-280,-4620,9450,10522,26.179,-1.558,43.016,111,22,1160,26.179,2520,-1890,5810,5180,swipe right
68,18000000,2748.646,47.47,-170.537,-1998,-333,1858,2748.646,-26810,-98070,-67340,44567,1730.969,39.563,-102.339,-2050,-203,1988,1730.969,-26530,-93450,-76790,34045,swipe right
69,18000000,2909.13,76.178,44.985,1998,1997,695,2909.13,35140,-119420,-506520,38412,160.484,28.708,215.522,3996,2330,1028,160.484,61950,-21350,-439180,-6155,swipe right
74,19000000,1638.423,25.888,-145.421,-589,-406,1474,1638.423,1680,43680,-32760,54625,-1270.707,-50.29,-190.406,-2587,-2403,-523,-1270.707,-33460,163100,473760,16213,swipe right
75,19000000,1078.775,14.159,-154.405,-238,-114,1046,1078.775,11900,-23730,109340,63796,40.075,5.928,-77.227,-271,31,1191,40.075,10920,-20300,103530,56979,swipe right
76,19000000,2565.791,70.036,55.901,1352,1997,876,2565.791,-164710,123690,-1023610,59827,1487.016,55.877,210.306,1590,2111,990,1487.016,-176610,147420,-1132950,-3969,swipe right
77,19000000,2825.692,45.001,-179.34,-1998,-23,1998,2825.692,25620,153720,-7420,53539,259.901,-25.035,-235.241,-3350,-2020,1,259.901,190330,30030,1016190,-6288,swipe right
